distribution,population_mean,population_variance,replication,n,sampling_fraction,method,width,normalized_width
Bernoulli(0.5),0.5,0.25,1,2800,0.7,WSR running intersection,0.034449843596666974,1.2919159785688745
Bernoulli(0.5),0.5,0.25,1,2800,0.7,Exact hypergeometric,0.02675,1.003161373715524
Bernoulli(0.5),0.5,0.25,1,2800,0.7,Bardenet--Maillard EBS,0.060460179457363816,2.2673389412910727
Bernoulli(0.5),0.5,0.25,1,2800,0.7,Shekhar--Ramdas AS-CI,0.06219395472323486,2.332357871288276
Bernoulli(0.5),0.5,0.25,1,2800,0.7,Shekhar--Ramdas rate CI,0.10697356039773753,4.011653973825606
Bernoulli(0.5),0.5,0.25,1,3200,0.8,Bridge-efficient betting,0.020847889408469322,1.0236481661305425
Bernoulli(0.5),0.5,0.25,1,3200,0.8,WSR running intersection,0.02781834080815304,1.365902945623456
Bernoulli(0.5),0.5,0.25,1,3200,0.8,Exact hypergeometric,0.0205,1.0065665158963855
Bernoulli(0.5),0.5,0.25,1,3200,0.8,Bardenet--Maillard EBS,0.04862172119787361,2.387365683074589
Bernoulli(0.5),0.5,0.25,1,3200,0.8,Shekhar--Ramdas AS-CI,0.04659969761504579,2.288082696107402
Bernoulli(0.5),0.5,0.25,1,3200,0.8,Shekhar--Ramdas rate CI,0.08147740762527439,4.000606356958148
Bernoulli(0.5),0.5,0.25,1,3600,0.9,Bridge-efficient betting,0.014044640958309207,1.0344047792503148
Bernoulli(0.5),0.5,0.25,1,3600,0.9,WSR running intersection,0.020814805012196347,1.5330355434284704
Bernoulli(0.5),0.5,0.25,1,3600,0.9,Exact hypergeometric,0.0135,0.9942913144830148
Bernoulli(0.5),0.5,0.25,1,3600,0.9,Bardenet--Maillard EBS,0.0366876835283505,2.7020922282029978
Bernoulli(0.5),0.5,0.25,1,3600,0.9,Shekhar--Ramdas AS-CI,0.029894794932432578,2.2017877740421152
Bernoulli(0.5),0.5,0.25,1,3600,0.9,Shekhar--Ramdas rate CI,0.05370298581193517,3.955289804045312
Bernoulli(0.5),0.5,0.25,2,400,0.1,Bridge-efficient betting,0.12567179454490562,1.0284310600122932
Bernoulli(0.5),0.5,0.25,2,400,0.1,WSR running intersection,0.139736703503877,1.1435307869003557
Bernoulli(0.5),0.5,0.25,2,400,0.1,Exact hypergeometric,0.12375,1.012704116603071
