distribution,population_mean,population_variance,n,sampling_fraction,method,normalized_mean_width,normalized_standard_error,num_simulations
Bernoulli(0.25),0.25,0.1875,3600,0.9,Exact hypergeometric,1.0006617912055287,0.0005450358640303395,200
Bernoulli(0.25),0.25,0.1875,400,0.1,Bardenet--Maillard EBS,2.900301631801341,0.002773438906648047,200
Bernoulli(0.25),0.25,0.1875,1200,0.3,Bardenet--Maillard EBS,2.3961304343078047,0.0015041316467991166,200
Bernoulli(0.25),0.25,0.1875,2000,0.5,Bardenet--Maillard EBS,2.3170339793343806,0.0009509850530860062,200
Bernoulli(0.25),0.25,0.1875,2800,0.7,Bardenet--Maillard EBS,2.3963141583065166,0.0005642339788849369,200
Bernoulli(0.25),0.25,0.1875,3200,0.8,Bardenet--Maillard EBS,2.5344576854698473,0.00042051482093728547,200
Bernoulli(0.25),0.25,0.1875,3600,0.9,Bardenet--Maillard EBS,2.8973058885489578,0.0002939265762965292,200
Bernoulli(0.25),0.25,0.1875,400,0.1,Shekhar--Ramdas AS-CI,2.000238811360021,0.0055190074570266884,200
Bernoulli(0.25),0.25,0.1875,1200,0.3,Shekhar--Ramdas AS-CI,1.9679229762928958,0.0030313497706162848,200
Bernoulli(0.25),0.25,0.1875,2000,0.5,Shekhar--Ramdas AS-CI,1.9390852156909322,0.0019314944914010843,200
Bernoulli(0.25),0.25,0.1875,2800,0.7,Shekhar--Ramdas AS-CI,1.8910121371276347,0.0011382140094432598,200
Bernoulli(0.25),0.25,0.1875,3200,0.8,Shekhar--Ramdas AS-CI,1.8485903454217052,0.000840300481825447,200
Bernoulli(0.25),0.25,0.1875,3600,0.9,Shekhar--Ramdas AS-CI,1.7677699970506273,0.0005782115963553436,200
Bernoulli(0.25),0.25,0.1875,400,0.1,Shekhar--Ramdas rate CI,3.8555220828706673,0.0067852229576802064,200
Bernoulli(0.25),0.25,0.1875,1200,0.3,Shekhar--Ramdas rate CI,3.9938410898568093,0.00405408260261118,200
Bernoulli(0.25),0.25,0.1875,2000,0.5,Shekhar--Ramdas rate CI,4.018773555680041,0.0026144605611344773,200
Bernoulli(0.25),0.25,0.1875,2800,0.7,Shekhar--Ramdas rate CI,4.016186441632746,0.0015676046272531268,200
Bernoulli(0.25),0.25,0.1875,3200,0.8,Shekhar--Ramdas rate CI,3.999013511386176,0.0011754441625272747,200
Bernoulli(0.25),0.25,0.1875,3600,0.9,Shekhar--Ramdas rate CI,3.93686642030412,0.0008363700275227682,200
Bernoulli(0.1),0.1,0.09000000000000001,400,0.1,Bridge-efficient betting,1.1007281198776875,0.007881623188807247,200
Bernoulli(0.1),0.1,0.09000000000000001,1200,0.3,Bridge-efficient betting,1.052421776157465,0.004064936770171068,200
Bernoulli(0.1),0.1,0.09000000000000001,2000,0.5,Bridge-efficient betting,1.0505605974170693,0.0030573077333834573,200
Bernoulli(0.1),0.1,0.09000000000000001,2800,0.7,Bridge-efficient betting,1.0510048469956756,0.0027169942707609613,200
Bernoulli(0.1),0.1,0.09000000000000001,3200,0.8,Bridge-efficient betting,1.0533692627584037,0.0028402927321324735,200
Bernoulli(0.1),0.1,0.09000000000000001,3600,0.9,Bridge-efficient betting,1.081765438975454,0.0036391557614094913,200
Bernoulli(0.1),0.1,0.09000000000000001,400,0.1,WSR running intersection,1.1997228937245856,0.00851164093623142,200
Bernoulli(0.1),0.1,0.09000000000000001,1200,0.3,WSR running intersection,1.1978308384666294,0.005545528351201192,200
Bernoulli(0.1),0.1,0.09000000000000001,2000,0.5,WSR running intersection,1.2274510508139236,0.0043688792744872584,200
Bernoulli(0.1),0.1,0.09000000000000001,2800,0.7,WSR running intersection,1.2937344795398453,0.0033214386527480283,200
Bernoulli(0.1),0.1,0.09000000000000001,3200,0.8,WSR running intersection,1.3699449461102375,0.0032682051242496,200
Bernoulli(0.1),0.1,0.09000000000000001,3600,0.9,WSR running intersection,1.5446524022971666,0.003189787791115788,200
Bernoulli(0.1),0.1,0.09000000000000001,400,0.1,Exact hypergeometric,1.0254737358511465,0.0042880006457105425,200
Bernoulli(0.1),0.1,0.09000000000000001,1200,0.3,Exact hypergeometric,1.01491403199904,0.0022025407548398965,200
Bernoulli(0.1),0.1,0.09000000000000001,2000,0.5,Exact hypergeometric,1.0093795828869492,0.0014319186449695054,200
Bernoulli(0.1),0.1,0.09000000000000001,2800,0.7,Exact hypergeometric,1.0037863963782754,0.0011254682119069418,200
Bernoulli(0.1),0.1,0.09000000000000001,3200,0.8,Exact hypergeometric,1.0024747820919284,0.0008331204754431236,200
Bernoulli(0.1),0.1,0.09000000000000001,3600,0.9,Exact hypergeometric,1.0005823552073674,0.0010634530776123057,200
Bernoulli(0.1),0.1,0.09000000000000001,400,0.1,Bardenet--Maillard EBS,2.990737586022692,0.015040233135019511,200
Bernoulli(0.1),0.1,0.09000000000000001,1200,0.3,Bardenet--Maillard EBS,2.816545174912333,0.003261232301255333,200
Bernoulli(0.1),0.1,0.09000000000000001,2000,0.5,Bardenet--Maillard EBS,2.7017263828490106,0.002081913757243926,200
Bernoulli(0.1),0.1,0.09000000000000001,2800,0.7,Bardenet--Maillard EBS,2.81454051691522,0.001362788047726822,200
Bernoulli(0.1),0.1,0.09000000000000001,3200,0.8,Bardenet--Maillard EBS,3.016876254443263,0.0009973918423069668,200
Bernoulli(0.1),0.1,0.09000000000000001,3600,0.9,Bardenet--Maillard EBS,2.996786238670579,0.0017067412417853434,200
Bernoulli(0.1),0.1,0.09000000000000001,400,0.1,Shekhar--Ramdas AS-CI,1.8620242278398529,0.008464744566263824,200
Bernoulli(0.1),0.1,0.09000000000000001,1200,0.3,Shekhar--Ramdas AS-CI,1.8092608936266845,0.0044961746373434735,200
Bernoulli(0.1),0.1,0.09000000000000001,2000,0.5,Shekhar--Ramdas AS-CI,1.7622743172876465,0.0028865004360287654,200
Bernoulli(0.1),0.1,0.09000000000000001,2800,0.7,Shekhar--Ramdas AS-CI,1.695201991073413,0.0018798070424442177,200
Bernoulli(0.1),0.1,0.09000000000000001,3200,0.8,Shekhar--Ramdas AS-CI,1.6452044558434904,0.0013673301548296215,200
Bernoulli(0.1),0.1,0.09000000000000001,3600,0.9,Shekhar--Ramdas AS-CI,1.5427926419980083,0.0009600764701386384,200
Bernoulli(0.1),0.1,0.09000000000000001,400,0.1,Shekhar--Ramdas rate CI,4.004951977631296,0.014590815885568832,200
Bernoulli(0.1),0.1,0.09000000000000001,1200,0.3,Shekhar--Ramdas rate CI,4.043857478844958,0.008672846415862629,200
Bernoulli(0.1),0.1,0.09000000000000001,2000,0.5,Shekhar--Ramdas rate CI,4.03761428479176,0.005696771425705798,200
Bernoulli(0.1),0.1,0.09000000000000001,2800,0.7,Shekhar--Ramdas rate CI,4.0044349499018415,0.0038046420703942026,200
Bernoulli(0.1),0.1,0.09000000000000001,3200,0.8,Shekhar--Ramdas rate CI,3.9680747025496816,0.0028470280322620916,200
Bernoulli(0.1),0.1,0.09000000000000001,3600,0.9,Shekhar--Ramdas rate CI,3.734048583261171,0.002191049954866509,200
