distribution,n,rep,method,calibration,lower,upper,width,sqrt_n_width,empty,noncoverage,sample_mean_excluded,poisson_round_fraction,evaluations,solvency_c,third_moment_shrinkage,skewness_epsilon
"Beta(2,2)",10,15,PE-betting,Uniformly randomized,0.14503252925351262,0.6385833569802344,0.49355082772672176,1.5607447566778248,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,16,PE-betting,Deterministic,0.281930326949805,0.9257127097807825,0.6437823828309774,2.035818647236367,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,16,PE-betting,Uniformly randomized,0.39543715910986066,0.8457522341050208,0.4503150749951601,1.4240213016942433,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,17,PE-betting,Deterministic,0.16454269317910075,0.8667954900301993,0.7022527968510985,2.2207183312729923,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,17,PE-betting,Uniformly randomized,0.19474623398855329,0.8005182729102671,0.6057720389217138,1.9156193858367858,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,18,PE-betting,Deterministic,0.2597482451237738,0.9195920177735388,0.659843772649765,2.086609221451575,False,False,False,0.1,61,1.0,10.0,0.05
"Beta(2,2)",10,18,PE-betting,Uniformly randomized,0.40508616948500276,0.8826871155761182,0.4776009460911155,1.510306802299217,False,False,False,0.1,61,1.0,10.0,0.05
"Beta(2,2)",10,19,PE-betting,Deterministic,0.21566043561324477,0.8223893498070538,0.606728914193809,1.9186452911332998,False,False,False,0.3,61,1.0,10.0,0.05
"Beta(2,2)",10,19,PE-betting,Uniformly randomized,0.2579195792786777,0.6889262939803302,0.4310067147016525,1.362962905283602,False,False,False,0.3,61,1.0,10.0,0.05
"Beta(2,2)",10,20,PE-betting,Deterministic,0.32274808967486024,0.9148133299313486,0.5920652402564883,1.8722746826253174,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,20,PE-betting,Uniformly randomized,0.38095057336613536,0.8818818456493318,0.5009312722831964,1.584083771620876,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,21,PE-betting,Deterministic,0.1801360403187573,0.7863553347997367,0.6062192944809794,1.9170337321002375,False,False,False,0.3,61,1.0,10.0,0.05
