distribution,n,method,calibration,mean,lo,hi,replications,noncoverage,empty_rate,sample_mean_exclusion_rate,poisson_round_fraction
Bernoulli(0.1),10,PE-betting,Deterministic,1.6996228699663263,1.3006320943688308,2.231587868438865,120,0.0,0.0,0.0,0.4125
Bernoulli(0.1),10,PE-betting,Uniformly randomized,1.5429142525436803,1.0900982222618831,2.0288979492172383,120,0.0,0.0,0.0,0.4125
Bernoulli(0.1),50,PE-betting,Deterministic,1.8352882942815747,1.2277707909595028,2.3292718852222074,120,0.0,0.0,0.0,0.8480000000000001
Bernoulli(0.1),50,PE-betting,Uniformly randomized,1.7421401354587829,1.1811959158479857,2.1819067922617257,120,0.016666666666666666,0.0,0.0,0.8480000000000001
Bernoulli(0.1),100,PE-betting,Deterministic,1.8422339221773048,1.4268170376308262,2.199405115563423,120,0.0,0.0,0.0,0.9140833333333334
Bernoulli(0.1),100,PE-betting,Uniformly randomized,1.7097748580466334,1.34665341489017,2.052789334207773,120,0.0,0.0,0.0,0.9140833333333334
Bernoulli(0.1),500,PE-betting,Deterministic,1.6294875129839015,1.4673024508337795,1.795012685675701,120,0.016666666666666666,0.0,0.0,0.9810833333333334
Bernoulli(0.1),500,PE-betting,Uniformly randomized,1.5740507375637762,1.4190710979385008,1.7444468558712194,120,0.016666666666666666,0.0,0.0,0.9810833333333334
Bernoulli(0.1),1000,PE-betting,Deterministic,1.5971026274770768,1.4814975899496219,1.730619064768511,120,0.0,0.0,0.0,0.9901666666666666
Bernoulli(0.1),1000,PE-betting,Uniformly randomized,1.561206809088933,1.448823421985818,1.6911195849974179,120,0.0,0.0,0.0,0.9901666666666666
Bernoulli(0.1),5000,PE-betting,Deterministic,1.5668190796711623,1.5097772489784445,1.6246935487955674,120,0.0,0.0,0.0,0.9982066666666667
Bernoulli(0.1),5000,PE-betting,Uniformly randomized,1.5517913146114066,1.4968608204166745,1.608635968297841,120,0.0,0.0,0.0,0.9982066666666667
Bernoulli(0.1),10000,PE-betting,Deterministic,1.5547764293539028,1.5149680990725756,1.5976342838257551,120,0.025,0.0,0.0,0.9992608333333334
Bernoulli(0.1),10000,PE-betting,Uniformly randomized,1.5444005505802731,1.504724072292447,1.5862942673265934,120,0.03333333333333333,0.0,0.0,0.9992608333333334
Bernoulli(0.5),10,PE-betting,Deterministic,2.7558000429232483,2.2285182778765447,3.1622776601683795,120,0.0,0.0,0.0,0.26166666666666666
Bernoulli(0.5),10,PE-betting,Uniformly randomized,2.388030017579397,2.0209229467192094,2.8216451777793967,120,0.0,0.0,0.0,0.26166666666666666
Bernoulli(0.5),50,PE-betting,Deterministic,2.7945018760781446,2.71853165189308,2.8525011253927417,120,0.008333333333333333,0.0,0.0,0.43200000000000005
Bernoulli(0.5),50,PE-betting,Uniformly randomized,2.535549958056991,2.3820937296707894,2.698656818154832,120,0.008333333333333333,0.0,0.0,0.43200000000000005
Bernoulli(0.5),100,PE-betting,Deterministic,2.7051359184551984,2.668715972453356,2.734783465974033,120,0.008333333333333333,0.0,0.0,0.4998333333333333
Bernoulli(0.5),100,PE-betting,Uniformly randomized,2.549139023758471,2.45106319244951,2.6423101043328643,120,0.008333333333333333,0.0,0.0,0.4998333333333333
Bernoulli(0.5),500,PE-betting,Deterministic,2.631999980871668,2.622207358190692,2.6385215657374803,120,0.016666666666666666,0.0,0.0,0.28791666666666665
Bernoulli(0.5),500,PE-betting,Uniformly randomized,2.5676158248110474,2.532569956440135,2.600248630683566,120,0.016666666666666666,0.0,0.0,0.28791666666666665
Bernoulli(0.5),1000,PE-betting,Deterministic,2.615390289758882,2.6098880587388398,2.6198641304362975,120,0.0,0.0,0.0,0.19991666666666666
Bernoulli(0.5),1000,PE-betting,Uniformly randomized,2.572887131610717,2.5548683996197874,2.5913806197040734,120,0.0,0.0,0.0,0.19991666666666666
Bernoulli(0.5),5000,PE-betting,Deterministic,2.59399965088211,2.5919752861621452,2.5954428522689286,120,0.0,0.0,0.0,0.04708166666666667
Bernoulli(0.5),5000,PE-betting,Uniformly randomized,2.5757107668333794,2.566146755676023,2.5864153595173747,120,0.0,0.0,0.0,0.04708166666666667
Bernoulli(0.5),10000,PE-betting,Deterministic,2.588981167258074,2.5879693776369095,2.5897798221558332,120,0.0,0.0,0.0,0.0221075
Bernoulli(0.5),10000,PE-betting,Uniformly randomized,2.57599451035882,2.570062093436718,2.5816004909574986,120,0.0,0.0,0.0,0.0221075
"Beta(0.5,0.5)",10,PE-betting,Deterministic,2.456552671587973,2.097482072444612,2.7838972616741287,120,0.0,0.0,0.0,0.12833333333333333
"Beta(0.5,0.5)",10,PE-betting,Uniformly randomized,1.954322863395753,1.6018975705555552,2.359091402026484,120,0.016666666666666666,0.0,0.0,0.12833333333333333
"Beta(0.5,0.5)",50,PE-betting,Deterministic,2.0387758199959127,1.8748572250959141,2.21950014300398,120,0.008333333333333333,0.0,0.0,0.3486666666666667
"Beta(0.5,0.5)",50,PE-betting,Uniformly randomized,1.8260193219297791,1.6538875420137769,1.999449346830166,120,0.008333333333333333,0.0,0.0,0.3486666666666667
"Beta(0.5,0.5)",100,PE-betting,Deterministic,1.9687205216226478,1.853084429167211,2.07058169785887,120,0.0,0.0,0.0,0.42133333333333334
