distribution,n,method,replications,coverage,mean_width,median_width,q10_width,q90_width,mean_sqrt_n_width,mean_normalized_halfwidth,mean_runtime_seconds,empty_rate
Bernoulli(0.1),10,Gaffke,50,1.0,0.5479795556959467,0.5437859283242222,0.4112959813475253,0.6373506569250963,1.7328635072062866,2.8881058453438113,0.00018435001373291016,0.0
Bernoulli(0.1),10,Probit-STaR,50,1.0,0.5927300536239417,0.640297012841222,0.371509750076814,0.7484850203501463,1.8743770070853965,3.123961678475661,0.00015155792236328124,0.0
Bernoulli(0.1),10,STaR,50,1.0,0.5471994036662493,0.5643998868372736,0.4112959813706675,0.6488358958929185,1.7303964498712392,2.8839940831187323,0.00030139923095703127,0.0
Bernoulli(0.1),50,Gaffke,50,1.0,0.23868953411641833,0.25214078993821426,0.19583378413569158,0.27961991957869375,1.6877898817197718,2.8129831361996196,0.00010794639587402344,0.0
Bernoulli(0.1),50,Probit-STaR,50,1.0,0.24814441282568991,0.2463138790744492,0.1754707930875825,0.3162011351546968,1.7546459702259947,2.9244099503766576,0.0002692890167236328,0.0
Bernoulli(0.1),50,STaR,50,1.0,0.24570289661734546,0.2590965513077378,0.19888040009582295,0.28412752173801203,1.737381843553022,2.895636405921703,0.0001805734634399414,0.0
Bernoulli(0.1),100,Gaffke,50,1.0,0.16717011274044022,0.16690142601554553,0.14981320231482295,0.186736181176183,1.6717011274044022,2.786168545674004,8.966922760009766e-05,0.0
Bernoulli(0.1),100,Probit-STaR,50,1.0,0.16484600831306043,0.16784477448591079,0.13504042998170923,0.19820366954431806,1.6484600831306044,2.747433471884341,0.00042274951934814456,0.0
Bernoulli(0.1),100,STaR,50,1.0,0.1703501777118512,0.17777459112108596,0.13318679615199674,0.19444113740697663,1.7035017771185121,2.8391696285308536,0.00020991802215576173,0.0
Bernoulli(0.1),500,Gaffke,50,1.0,0.07139322140949857,0.07167275563964445,0.06523116312726385,0.07681218534144588,1.5964009620433215,2.660668270072202,0.00011253833770751953,0.0
Bernoulli(0.1),500,Probit-STaR,50,1.0,0.07285607826192896,0.07240961864703988,0.0646324147960809,0.08107991663911991,1.6291114356771788,2.715185726128632,0.001795525550842285,0.0
Bernoulli(0.1),500,STaR,50,1.0,0.07343500255534184,0.07432797982502684,0.06601499131284852,0.07935805905566085,1.6420565764161514,2.736760960693586,0.0006823444366455078,0.0
Bernoulli(0.1),1000,Gaffke,50,0.98,0.05008326338573243,0.0498581684184531,0.04759646296148154,0.05294041695037806,1.583771849530306,2.639619749217177,0.00013021469116210937,0.0
Bernoulli(0.1),1000,Probit-STaR,50,0.98,0.051314556107492616,0.05130989738983478,0.04602256251229149,0.05657769134276548,1.6227087442018078,2.70451457366968,0.0035203075408935546,0.0
Bernoulli(0.1),1000,STaR,50,0.98,0.050951709125022386,0.05152128018315136,0.046317523609545545,0.05467800659094016,1.6112345151345564,2.6853908585575943,0.001296215057373047,0.0
Bernoulli(0.1),5000,Gaffke,50,0.98,0.02205344747498179,0.021977714041389818,0.021470989273891024,0.02268172247288479,1.5594142258100971,2.599023709683495,0.00016495227813720703,0.0
Bernoulli(0.1),5000,Probit-STaR,50,1.0,0.022359358503992857,0.022288268093218086,0.020308962405424673,0.02406649651703322,1.5810454021154448,2.6350756701924083,0.01760852336883545,0.0
Bernoulli(0.1),5000,STaR,50,0.98,0.022429777367341832,0.02256875674600435,0.021468468100506448,0.023546319440531434,1.5860247676951957,2.6433746128253266,0.006161675453186035,0.0
Bernoulli(0.1),10000,Gaffke,50,1.0,0.015540791369959929,0.01555460458069128,0.015255612403421045,0.0158060813251302,1.554079136995993,2.590131894993322,0.00017439842224121094,0.0
Bernoulli(0.1),10000,Probit-STaR,50,0.98,0.015655801456966555,0.01567203001538714,0.014695072723282276,0.016810945513376217,1.5655801456966554,2.6093002428277594,0.03520293235778808,0.0
Bernoulli(0.1),10000,STaR,50,1.0,0.015916889468828098,0.01597991160427452,0.015375900436601808,0.016402823734221767,1.5916889468828097,2.6528149114713493,0.01207873821258545,0.0
Bernoulli(0.1),50000,Gaffke,30,1.0,0.006924356755749691,0.006912560649951195,0.006872337642210376,0.006982157491961026,1.5483332406316217,2.580555401052703,0.00022179285685221354,0.0
Bernoulli(0.1),50000,Probit-STaR,30,1.0,0.007030407835484134,0.007004140955101712,0.006657730738326514,0.007434533094004094,1.572046982968968,2.6200783049482803,0.17557388146718342,0.0
Bernoulli(0.1),50000,STaR,30,1.0,0.007104946038030779,0.0071038671955038005,0.006965692494009334,0.0072179208543626415,1.5887142317504628,2.647857052917438,0.05942231019337972,0.0
Bernoulli(0.1),100000,Gaffke,30,0.9666666666666667,0.004896957799676503,0.00489891065811577,0.004863144332485017,0.004932465374187516,1.548554025270431,2.5809233754507184,0.00026825269063313805,0.0
Bernoulli(0.1),100000,Probit-STaR,30,1.0,0.004951924192331009,0.005003449258179381,0.0046495658108707235,0.005168365502674832,1.5659359248255695,2.6098932080426156,0.354017702738444,0.0
Bernoulli(0.1),100000,STaR,30,0.9666666666666667,0.004982536930714478,0.005010569640363553,0.004811647002204898,0.0051094565501052566,1.575616522696232,2.6260275378270537,0.11689287821451823,0.0
Bernoulli(0.1),500000,Gaffke,20,0.95,0.002187574707509886,0.0021881191413958695,0.00218312473120115,0.0021931500237747066,1.5468489100324185,2.578081516720698,0.0006308674812316895,0.0
Bernoulli(0.1),500000,Probit-STaR,20,0.95,0.002185937284762088,0.0021807335175126966,0.002138667029258344,0.0022506569282585666,1.5456910773037815,2.576151795506303,1.7757006764411927,0.0
