distribution,n,method,replications,coverage,mean_width,q10_width,q90_width,mean_sqrt_n_width,q10_sqrt_n_width,q90_sqrt_n_width,mean_sqrt_n_largest_component,mean_normalized_halfwidth,mean_runtime_seconds,mean_score_evaluations,empty_rate
Bernoulli(0.1),1000,Capped original feedback,50,1.0,0.05630756854797087,0.053884365873236036,0.058730244219080234,1.780601661176481,1.7039732643327397,1.857213392702307,1.7806016611764794,2.9676694352941353,0.001317126461071842,31.66,0.0
Bernoulli(0.1),1000,Common-clock Efficient betting,30,1.0,0.050786707596237365,0.04594163610031419,0.05495935376692242,1.606016708650853,1.452802095116089,1.737967366344298,1.6060167086508514,2.6766945144180885,0.01761297971631085,123.0,0.0
Bernoulli(0.1),1000,Common-clock STaR betting,30,1.0,0.05194071479981994,0.04663872086013507,0.05632548395047522,1.6425096206464784,1.474845850748342,1.7811681959476053,1.642509620646477,2.7375160344107976,0.0028364389824370065,123.0,0.0
Bernoulli(0.1),1000,Efficient betting,30,1.0,0.04994481495140487,0.04627719073236635,0.05302839244845877,1.5793937256207142,1.4634132642831328,1.6769050079440282,1.5793937256207127,2.6323228760345234,0.0157870028323183,31.0,0.0
Bernoulli(0.1),1000,Gaffke,50,1.0,0.04995782426673191,0.04759646296148147,0.0521680029177077,1.5798051162930418,1.5051323152612477,1.64969710202266,1.5798051162930407,2.63300852715507,0.000197302381275168,0.0,0.0
Bernoulli(0.1),1000,Regularized Efficient betting,50,1.0,0.051751617739457315,0.04648853509249152,0.05685404689108233,1.6365298465505962,1.4700965597693971,1.7978828237383526,1.6365298465505946,2.7275497442509935,0.004430094007402608,31.12,0.0
Bernoulli(0.1),1000,STaR betting,30,1.0,0.05140068105332505,0.04806179305687954,0.054744668279231634,1.6254322541237003,1.5198473449140615,1.731178415127427,1.6254322541236987,2.7090537568728337,0.0015095717118431599,31.233333333333334,0.0
Bernoulli(0.1),1000,Square-root feedback,50,1.0,0.05122477855927325,0.047810327488997106,0.05468632802389909,1.6198697288506212,1.5118953054378999,1.7293335342661613,1.6198697288506199,2.6997828814177023,0.000571824673097536,31.16,0.0
Bernoulli(0.1),1000,Squared-hinge feedback,50,1.0,0.05154987829836086,0.04799564510227115,0.05515914051349007,1.6301502852730545,1.5177555629228199,1.744285177998984,1.6301502852730527,2.716917142121757,0.000571824673097536,31.2,0.0
Bernoulli(0.1),1000,Target-capped feedback,50,1.0,0.05097021583862414,0.04822988983479469,0.0538368974099404,1.6118197488044177,1.5251630317695346,1.702472179722317,1.611819748804416,2.6863662480073627,0.000571824673097536,31.0,0.0
Bernoulli(0.1),3000,Capped original feedback,50,1.0,0.03195305028652939,0.03111724147652578,0.0326966696157587,1.7501406423029084,1.7043615084028545,1.7908703503844858,1.7501406423029056,2.9169010705048475,0.002231725865276488,31.42,0.0
Bernoulli(0.1),3000,Common-clock Efficient betting,30,1.0,0.028360620724752712,0.02671953373868098,0.0301044344969681,1.5533751715795596,1.4634891354695938,1.648887785492613,1.5533751715795574,2.5889586192992664,0.028508904483169267,123.0,0.0
Bernoulli(0.1),3000,Common-clock STaR betting,30,1.0,0.028882210755843653,0.02650931442338056,0.0302603512969676,1.581943834159393,1.451974949368264,1.6574277003379885,1.5819438341593903,2.636573056932322,0.00990489046089346,123.0,0.0
Bernoulli(0.1),3000,Efficient betting,30,1.0,0.028201235231977033,0.027027122247552222,0.0293162730929828,1.5446452686063286,1.4803364519434106,1.605718407500846,1.544645268606326,2.574408781010548,0.020285112162431042,31.0,0.0
Bernoulli(0.1),3000,Gaffke,50,1.0,0.028481413457433765,0.02777183460582935,0.029166977780246378,1.5599912620267702,1.5211260276915355,1.5975411664492922,1.559991262026768,2.5999854367112833,0.000196159260813094,0.0,0.0
