distribution,true_mean,true_variance,n,rep,method,calibration,lower,upper,width,sqrt_n_width,covered,empty,runtime_seconds,score_evaluations,topology_escalated,backend
"Beta(2,2)",0.5,0.05,100000,2,Efficient betting,randomized_markov,0.4982936972844052,0.5019376385852365,0.0036439413008313,1.1523154170583862,True,False,0.0892332659568637,123,False,
"Beta(2,2)",0.5,0.05,100000,2,Gaffke,not_applicable,0.498289454929937,0.5019432368866185,0.0036537819566814,1.1554273056739974,True,False,0.0002416667994111,0,False,cornish-fisher-moments
"Beta(2,2)",0.5,0.05,1000000,2,Original STaR,deterministic_markov,0.4991567002554143,0.5003466909954466,0.0011899907400322,1.189990740032287,True,False,0.4869069340638816,94,False,
"Beta(2,2)",0.5,0.05,1000000,2,Squared-hinge STaR,deterministic_markov,0.4991450793387238,0.5003469571233097,0.0012018777845858,1.2018777845858586,True,False,1.2971395479980856,94,False,
"Beta(2,2)",0.5,0.05,1000000,2,Efficient betting,deterministic_markov,0.4991791454111536,0.5003338127951975,0.0011546673840438,1.1546673840438504,True,False,0.8653879759367555,123,False,
"Beta(2,2)",0.5,0.05,1000000,2,Original STaR,randomized_markov,0.4991567002554143,0.5003466909954466,0.0011899907400322,1.189990740032287,True,False,0.4902231032028794,94,False,
"Beta(2,2)",0.5,0.05,1000000,2,Squared-hinge STaR,randomized_markov,0.4991450793387238,0.5003469571233097,0.0012018777845858,1.2018777845858586,True,False,1.3211090550757945,94,False,
"Beta(2,2)",0.5,0.05,1000000,2,Efficient betting,randomized_markov,0.4991811652533969,0.500331560944048,0.001150395690651,1.150395690651007,True,False,0.8754810951650143,123,False,
"Beta(2,2)",0.5,0.05,1000000,2,Gaffke,not_applicable,0.4991800259634257,0.5003329478335382,0.0011529218701124,1.1529218701124555,True,False,0.0007017368916422,0,False,cornish-fisher-moments
"Beta(2,2)",0.5,0.05,10000000,2,Original STaR,deterministic_markov,0.4996706811976628,0.5000407230945423,0.0003700418968795,1.170175223828383,True,False,4.999431039905176,96,False,
"Beta(2,2)",0.5,0.05,10000000,2,Squared-hinge STaR,deterministic_markov,0.4996724204590991,0.5000405688052214,0.0003681483461223,1.1641872905705173,True,False,13.56391007383354,96,False,
"Beta(2,2)",0.5,0.05,10000000,2,Efficient betting,deterministic_markov,0.4996819168049625,0.500046324444261,0.0003644076392985,1.1523581369483875,True,False,8.366390414070338,123,False,
"Beta(2,2)",0.5,0.05,10000000,2,Original STaR,randomized_markov,0.4996706811976628,0.5000407230945423,0.0003700418968795,1.170175223828383,True,False,5.167905414011329,96,False,
"Beta(2,2)",0.5,0.05,10000000,2,Squared-hinge STaR,randomized_markov,0.4996724204590991,0.5000405688052214,0.0003681483461223,1.1641872905705173,True,False,13.3299799580127,96,False,
"Beta(2,2)",0.5,0.05,10000000,2,Efficient betting,randomized_markov,0.4996819772259553,0.5000463158126907,0.0003643385867353,1.152139773570506,True,False,8.334175924072042,123,False,
"Beta(2,2)",0.5,0.05,10000000,2,Gaffke,not_applicable,0.4996820226923116,0.5000463955925436,0.000364372900232,1.152248282374421,True,False,0.0053289120551198,0,False,cornish-fisher-moments
"Beta(1,5)",0.1666666666666666,0.0198412698412698,1000,0,Original STaR,deterministic_markov,0.1523511943374032,0.1766926808757433,0.0243414865383401,0.7697453909548237,True,False,0.0017285968642681,84,False,
"Beta(1,5)",0.1666666666666666,0.0198412698412698,1000,0,Squared-hinge STaR,deterministic_markov,0.1520798356773142,0.1768428502313266,0.0247630145540123,0.7830752772257774,True,False,0.0024093349929898,84,False,
"Beta(1,5)",0.1666666666666666,0.0198412698412698,1000,0,Efficient betting,deterministic_markov,0.1520674397813405,0.1762182929766955,0.024150853195355,0.7637170353367727,True,False,0.0013084840029478,123,False,
"Beta(1,5)",0.1666666666666666,0.0198412698412698,1000,0,Original STaR,randomized_markov,0.1523670016379909,0.1765837861383613,0.0242167845003704,0.7658019662663319,True,False,0.0011644610203802,84,False,
"Beta(1,5)",0.1666666666666666,0.0198412698412698,1000,0,Squared-hinge STaR,randomized_markov,0.1520859829608761,0.1767251736602847,0.0246391906994086,0.7791596231336847,True,False,0.0024634159635752,84,False,
"Beta(1,5)",0.1666666666666666,0.0198412698412698,1000,0,Efficient betting,randomized_markov,0.1522890121998349,0.1759829398346118,0.0236939276347769,0.7492677804110137,True,False,0.0014072800986468,123,False,
"Beta(1,5)",0.1666666666666666,0.0198412698412698,1000,0,Gaffke,not_applicable,0.152527616867147,0.1765581269987442,0.0240305101315971,0.7599114535159966,True,False,0.0192285350058227,0,False,bspline-exact
"Beta(1,5)",0.1666666666666666,0.0198412698412698,10000,0,Original STaR,deterministic_markov,0.1631961361605384,0.1707920992379653,0.0075959630774269,0.7595963077426937,True,False,0.0054324988741427,87,False,
"Beta(1,5)",0.1666666666666666,0.0198412698412698,10000,0,Squared-hinge STaR,deterministic_markov,0.163184820435869,0.1708568817616974,0.0076720613258284,0.7672061325828428,True,False,0.0139994209166616,87,False,
"Beta(1,5)",0.1666666666666666,0.0198412698412698,10000,0,Efficient betting,deterministic_markov,0.1635639516148151,0.1708944521437006,0.0073305005288855,0.7330500528885509,True,False,0.0092414279934018,123,False,
"Beta(1,5)",0.1666666666666666,0.0198412698412698,10000,0,Original STaR,randomized_markov,0.1631964190536551,0.1707920992379653,0.0075956801843102,0.7595680184310227,True,False,0.0055594679433852,87,False,
"Beta(1,5)",0.1666666666666666,0.0198412698412698,10000,0,Squared-hinge STaR,randomized_markov,0.1631851033289857,0.1708568817616974,0.0076717784327117,0.7671778432711718,True,False,0.0137056158855557,87,False,
"Beta(1,5)",0.1666666666666666,0.0198412698412698,10000,0,Efficient betting,randomized_markov,0.1635707410496167,0.1708636385549856,0.0072928975053688,0.729289750536885,True,False,0.0099399390164762,123,False,
"Beta(1,5)",0.1666666666666666,0.0198412698412698,10000,0,Gaffke,not_applicable,0.163510497293273,0.1709633615035138,0.0074528642102408,0.74528642102408,True,False,0.0002259181346744,0,False,cornish-fisher-moments
"Beta(1,5)",0.1666666666666666,0.0198412698412698,100000,0,Original STaR,deterministic_markov,0.1652499782305549,0.1676625741389948,0.0024125959084398,0.7629298144273121,True,False,0.0496705260593444,90,False,
"Beta(1,5)",0.1666666666666666,0.0198412698412698,100000,0,Squared-hinge STaR,deterministic_markov,0.1652261603980765,0.1676648762343273,0.0024387158362507,0.7711896608474661,True,False,0.139079252956435,90,False,
"Beta(1,5)",0.1666666666666666,0.0198412698412698,100000,0,Efficient betting,deterministic_markov,0.1652915623815977,0.1676077699671226,0.0023162075855248,0.7324491504017824,True,False,0.0832541240379214,123,False,
"Beta(1,5)",0.1666666666666666,0.0198412698412698,100000,0,Original STaR,randomized_markov,0.1652499782305549,0.1676623085126103,0.0024123302820553,0.7628458159891468,True,False,0.0504754071589559,90,False,
"Beta(1,5)",0.1666666666666666,0.0198412698412698,100000,0,Squared-hinge STaR,randomized_markov,0.1652261603980765,0.1676648762343273,0.0024387158362507,0.7711896608474661,True,False,0.1385343130677938,90,False,
"Beta(1,5)",0.1666666666666666,0.0198412698412698,100000,0,Efficient betting,randomized_markov,0.1652951040667246,0.1675831688773565,0.0022880648106319,0.7235496235678743,True,False,0.0896259578876197,123,False,
"Beta(1,5)",0.1666666666666666,0.0198412698412698,100000,0,Gaffke,not_applicable,0.1652929271409685,0.1676026109388762,0.0023096837979077,0.7303861476176438,True,False,0.000264239963144,0,False,cornish-fisher-moments
"Beta(1,5)",0.1666666666666666,0.0198412698412698,1000000,0,Original STaR,deterministic_markov,0.1664160183711278,0.1671520617238074,0.0007360433526796,0.736043352679655,True,False,0.4922388638369739,94,False,
"Beta(1,5)",0.1666666666666666,0.0198412698412698,1000000,0,Squared-hinge STaR,deterministic_markov,0.1664150399618097,0.1671584633162026,0.0007434233543928,0.7434233543928415,True,False,1.3171127729583532,94,False,
"Beta(1,5)",0.1666666666666666,0.0198412698412698,1000000,0,Efficient betting,deterministic_markov,0.1664511884229983,0.1671770004096665,0.0007258119866682,0.7258119866682677,True,False,0.8531190571375191,123,False,
"Beta(1,5)",0.1666666666666666,0.0198412698412698,1000000,0,Original STaR,randomized_markov,0.1664160183711278,0.1671520617238074,0.0007360433526796,0.736043352679655,True,False,0.5007154960185289,94,False,
"Beta(1,5)",0.1666666666666666,0.0198412698412698,1000000,0,Squared-hinge STaR,randomized_markov,0.1664150399618097,0.1671584633162026,0.0007434233543928,0.7434233543928415,True,False,1.3332130960188806,94,False,
"Beta(1,5)",0.1666666666666666,0.0198412698412698,1000000,0,Efficient betting,randomized_markov,0.1664513260454078,0.1671766649550432,0.0007253389096353,0.7253389096353868,True,False,0.8463595809880644,123,False,
"Beta(1,5)",0.1666666666666666,0.0198412698412698,1000000,0,Gaffke,not_applicable,0.1664502178078002,0.1671772227896774,0.0007270049818771,0.7270049818771662,True,False,0.0007485051173716,0,False,cornish-fisher-moments
"Beta(1,5)",0.1666666666666666,0.0198412698412698,10000000,0,Original STaR,deterministic_markov,0.1665692379701933,0.1668030451418452,0.0002338071716519,0.7393631957021,True,False,5.152197101153433,97,False,
"Beta(1,5)",0.1666666666666666,0.0198412698412698,10000000,0,Squared-hinge STaR,deterministic_markov,0.1665678593067983,0.1668035135338961,0.0002356542270977,0.7452040978754895,True,False,13.24556643795222,97,False,
"Beta(1,5)",0.1666666666666666,0.0198412698412698,10000000,0,Efficient betting,deterministic_markov,0.1665601505525737,0.1667899060310136,0.0002297554784398,0.7265506167717839,True,False,8.445386994862929,123,False,
"Beta(1,5)",0.1666666666666666,0.0198412698412698,10000000,0,Original STaR,randomized_markov,0.1665692379701933,0.1668030363042594,0.0002337983340661,0.7393352488018605,True,False,5.172485393937677,97,False,
"Beta(1,5)",0.1666666666666666,0.0198412698412698,10000000,0,Squared-hinge STaR,randomized_markov,0.1665678593067983,0.1668035046963102,0.0002356453895119,0.74517615097525,True,False,13.379681532038376,97,False,
"Beta(1,5)",0.1666666666666666,0.0198412698412698,10000000,0,Efficient betting,randomized_markov,0.1665602103762319,0.1667897836644401,0.0002295732882082,0.7259744806722446,True,False,8.397332622902468,123,False,
"Beta(1,5)",0.1666666666666666,0.0198412698412698,10000000,0,Gaffke,not_applicable,0.1665602661411643,0.1667898846109712,0.0002296184698068,0.7261173574323279,True,False,0.0052572069689631,0,False,cornish-fisher-moments
"Beta(1,5)",0.1666666666666666,0.0198412698412698,1000,1,Original STaR,deterministic_markov,0.1617456589334247,0.1866852895079506,0.0249396305745258,0.7886603661867551,True,False,0.0017423429526388,84,False,
"Beta(1,5)",0.1666666666666666,0.0198412698412698,1000,1,Squared-hinge STaR,deterministic_markov,0.1616699805515065,0.1869132255868234,0.0252432450353169,0.7982614984533902,True,False,0.0026974589563906,84,False,
"Beta(1,5)",0.1666666666666666,0.0198412698412698,1000,1,Efficient betting,deterministic_markov,0.1607421926962591,0.1863641761539048,0.0256219834576456,0.8102382589731671,True,False,0.0014302129857242,123,False,
"Beta(1,5)",0.1666666666666666,0.0198412698412698,1000,1,Original STaR,randomized_markov,0.1617465598665428,0.1861933800254822,0.0244468201589394,0.7730763325076822,True,False,0.0013962991070002,84,False,
"Beta(1,5)",0.1666666666666666,0.0198412698412698,1000,1,Squared-hinge STaR,randomized_markov,0.1616699805515065,0.1863474395886729,0.0246774590371663,0.7803697742295157,True,False,0.0023214879911392,84,False,
"Beta(1,5)",0.1666666666666666,0.0198412698412698,1000,1,Efficient betting,randomized_markov,0.1619378002464909,0.1859084426012544,0.0239706423547635,0.758018268183546,True,False,0.0014981520362198,123,False,
"Beta(1,5)",0.1666666666666666,0.0198412698412698,1000,1,Gaffke,not_applicable,0.1611076044893664,0.1857092049706337,0.0246016004812673,0.7779709160629942,True,False,0.0159565210342407,0,False,bspline-exact
