distribution,n,method,calibration,replications,mean_sqrt_n_width,q10_sqrt_n_width,q90_sqrt_n_width,coverage,empty_rate,escalation_rate
Bernoulli(0.1),10000000,Squared-hinge STaR,deterministic_markov,3,1.5922402149476007,1.5630544716465014,1.6131826752712761,1.0,0.0,0.0
Bernoulli(0.1),10000000,Squared-hinge STaR,randomized_markov,3,1.5922402149476007,1.5630544716465014,1.6131826752712761,1.0,0.0,0.0
Bernoulli(0.5),1000,Efficient betting,deterministic_markov,3,2.618001616041776,2.613303417646556,2.6219210294686786,1.0,0.0,0.0
Bernoulli(0.5),1000,Efficient betting,randomized_markov,3,2.5696911247714374,2.5673025716484723,2.571920203026977,1.0,0.0,0.0
Bernoulli(0.5),1000,Gaffke,not_applicable,3,2.6000842285252905,2.599414714398924,2.600651667200985,1.0,0.0,0.0
Bernoulli(0.5),1000,Original STaR,deterministic_markov,3,2.6470698388285574,2.6319611538607997,2.662259364053342,1.0,0.0,0.0
Bernoulli(0.5),1000,Original STaR,randomized_markov,3,2.6451530853477974,2.6291252402973124,2.6614068595498703,1.0,0.0,0.0
Bernoulli(0.5),1000,Randomized Gaffke,product_orthant_randomized,3,2.6000842285252914,2.599414714398924,2.6006516672009856,1.0,0.0,0.0
Bernoulli(0.5),1000,Squared-hinge STaR,deterministic_markov,3,2.66742745712109,2.649571233245551,2.6866889629471524,1.0,0.0,0.0
Bernoulli(0.5),1000,Squared-hinge STaR,randomized_markov,3,2.66696480541299,2.6489763003936853,2.6864113900352837,1.0,0.0,0.0
Bernoulli(0.5),10000,Efficient betting,deterministic_markov,3,2.5868632197318573,2.5865805617609094,2.5872548725323607,1.0,0.0,0.0
Bernoulli(0.5),10000,Efficient betting,randomized_markov,3,2.573772625114786,2.572537105456622,2.574845971654587,1.0,0.0,0.0
Bernoulli(0.5),10000,Gaffke,not_applicable,3,2.5849207888335264,2.584875295845815,2.584957333549224,1.0,0.0,0.0
Bernoulli(0.5),10000,Original STaR,deterministic_markov,3,2.6112767656919513,2.5291678323630293,2.6740531377644103,1.0,0.0,0.0
Bernoulli(0.5),10000,Original STaR,randomized_markov,3,2.610714787430507,2.528929819389486,2.6729424029104862,1.0,0.0,0.0
Bernoulli(0.5),10000,Randomized Gaffke,product_orthant_randomized,3,2.584920788833528,2.584875295845815,2.5849573335492284,1.0,0.0,0.0
Bernoulli(0.5),10000,Squared-hinge STaR,deterministic_markov,3,2.622218556308603,2.5068936117310967,2.7120757625955614,1.0,0.0,0.0
Bernoulli(0.5),10000,Squared-hinge STaR,randomized_markov,3,2.621557405292346,2.506655598757562,2.7107270131300796,1.0,0.0,0.0
Bernoulli(0.5),100000,Efficient betting,deterministic_markov,3,2.5797318332842707,2.5793880339734008,2.580017425998918,1.0,0.0,0.0
Bernoulli(0.5),100000,Efficient betting,randomized_markov,3,2.576201954725388,2.5753723818209586,2.577087771533982,1.0,0.0,0.0
Bernoulli(0.5),100000,Gaffke,not_applicable,3,2.578939119214089,2.578935558758756,2.5789419568833707,1.0,0.0,0.0
Bernoulli(0.5),100000,Original STaR,deterministic_markov,3,2.6174592950883837,2.576903132578523,2.6478319641344497,1.0,0.0,0.0
Bernoulli(0.5),100000,Original STaR,randomized_markov,3,2.617426234316762,2.576903132578523,2.647752618282558,1.0,0.0,0.0
Bernoulli(0.5),100000,Randomized Gaffke,product_orthant_randomized,3,2.5789391192140947,2.5789355587587597,2.5789419568833742,1.0,0.0,0.0
Bernoulli(0.5),100000,Squared-hinge STaR,deterministic_markov,3,2.622715962421419,2.5756335939742736,2.657591509291777,1.0,0.0,0.0
Bernoulli(0.5),100000,Squared-hinge STaR,randomized_markov,3,2.622715962421419,2.5756335939742736,2.657591509291777,1.0,0.0,0.0
Bernoulli(0.5),1000000,Efficient betting,deterministic_markov,3,2.5771182993578425,2.5770331496621335,2.5771796051534235,1.0,0.0,0.0
Bernoulli(0.5),1000000,Efficient betting,randomized_markov,3,2.576040011588732,2.5756829722325625,2.576343876113608,1.0,0.0,0.0
Bernoulli(0.5),1000000,Gaffke,not_applicable,3,2.5768234736024223,2.5768224727109486,2.576824196792271,1.0,0.0,0.0
Bernoulli(0.5),1000000,Original STaR,deterministic_markov,3,2.663503404451669,2.652626705594352,2.676033727875493,1.0,0.0,0.0
Bernoulli(0.5),1000000,Original STaR,randomized_markov,3,2.663503404451669,2.652626705594352,2.676033727875493,1.0,0.0,0.0
Bernoulli(0.5),1000000,Randomized Gaffke,product_orthant_randomized,3,2.576823473602441,2.5768224727109934,2.576824196792271,1.0,0.0,0.0
Bernoulli(0.5),1000000,Squared-hinge STaR,deterministic_markov,3,2.6915388929229693,2.6790673472428805,2.707474913751473,1.0,0.0,0.0
Bernoulli(0.5),1000000,Squared-hinge STaR,randomized_markov,3,2.6915388929229693,2.6790673472428805,2.707474913751473,1.0,0.0,0.0
Bernoulli(0.5),10000000,Efficient betting,deterministic_markov,3,2.5762430668902154,2.5762327062704213,2.5762574386815538,1.0,0.0,0.0
Bernoulli(0.5),10000000,Efficient betting,randomized_markov,3,2.575683577959411,2.5756409004201957,2.5757141569513267,1.0,0.0,0.0
Bernoulli(0.5),10000000,Gaffke,not_applicable,3,2.5761448949285413,2.5761447033441263,2.576145035853619,1.0,0.0,0.0
Bernoulli(0.5),10000000,Original STaR,deterministic_markov,3,2.6056467549304325,2.5818693036261817,2.6250336859548464,1.0,0.0,0.0
Bernoulli(0.5),10000000,Original STaR,randomized_markov,3,2.6056467549304325,2.5818693036261817,2.6250336859548464,1.0,0.0,0.0
Bernoulli(0.5),10000000,Randomized Gaffke,product_orthant_randomized,3,2.5761448949286,2.5761447033441263,2.57614503585376,1.0,0.0,0.0
Bernoulli(0.5),10000000,Squared-hinge STaR,deterministic_markov,3,2.616027818127714,2.5858167522979314,2.641279719384957,1.0,0.0,0.0
Bernoulli(0.5),10000000,Squared-hinge STaR,randomized_markov,3,2.616027818127714,2.5858167522979314,2.641279719384957,1.0,0.0,0.0
"Beta(0.5,0.5)",1000,Efficient betting,deterministic_markov,3,1.8772055539211714,1.8552897423706818,1.8989077738420277,1.0,0.0,0.0
"Beta(0.5,0.5)",1000,Efficient betting,randomized_markov,3,1.8402788406512467,1.834142733160707,1.845262449011985,1.0,0.0,0.0
"Beta(0.5,0.5)",1000,Gaffke,not_applicable,3,1.8668682492730773,1.860305481757963,1.8718267986887573,1.0,0.0,0.0
"Beta(0.5,0.5)",1000,Original STaR,deterministic_markov,3,1.8877780686289425,1.8653170270799875,1.907558348481247,1.0,0.0,0.0
"Beta(0.5,0.5)",1000,Original STaR,randomized_markov,3,1.88636057696307,1.8631615563953536,1.9065371796842043,1.0,0.0,0.0
"Beta(0.5,0.5)",1000,Randomized Gaffke,product_orthant_randomized,3,1.866868249273078,1.860305481757963,1.8718267986887587,1.0,0.0,0.0
"Beta(0.5,0.5)",1000,Squared-hinge STaR,deterministic_markov,3,1.9013121344422876,1.8762586406222328,1.9224227800921552,1.0,0.0,0.0
"Beta(0.5,0.5)",1000,Squared-hinge STaR,randomized_markov,3,1.9002481147162111,1.8739321179143569,1.9221956554574475,1.0,0.0,0.0
"Beta(0.5,0.5)",10000,Efficient betting,deterministic_markov,3,1.8307269921957803,1.8219818062869064,1.838010199859216,1.0,0.0,0.0
"Beta(0.5,0.5)",10000,Efficient betting,randomized_markov,3,1.8182304599028865,1.808886120784886,1.825328547342319,1.0,0.0,0.0
"Beta(0.5,0.5)",10000,Gaffke,not_applicable,3,1.8277700000707238,1.8188738395419057,1.8349671071998206,1.0,0.0,0.0
"Beta(0.5,0.5)",10000,Original STaR,deterministic_markov,3,1.8453708272599882,1.8396978852416146,1.8501876217895508,1.0,0.0,0.0
"Beta(0.5,0.5)",10000,Original STaR,randomized_markov,3,1.845138530480896,1.839669761617213,1.8497144803929344,1.0,0.0,0.0
"Beta(0.5,0.5)",10000,Randomized Gaffke,product_orthant_randomized,3,1.8277700000707293,1.8188738395419113,1.8349671071998264,1.0,0.0,0.0
