method,cells,c05_narrower_cells,c05_wider_cells,mean_cell_relative_change,median_cell_relative_change,aggregate_scaled_width_relative_change,max_cell_improvement,max_cell_worsening
Common-clock Efficient betting,81,29,52,0.023495466140053503,8.535220539385158e-05,0.004972177796570332,-0.004049271575042868,0.5602490888440719
Common-clock STaR betting,81,27,54,0.023500482326778635,1.4676330396756754e-05,0.004644750019259902,-0.0027009892931811885,0.5704806590395111
Efficient betting,81,29,52,0.02146782460362405,8.984575720560883e-05,0.005052262872751179,-0.004168306818852052,0.4670012877873204
STaR betting,81,26,53,0.021989693677820506,1.5050811885242155e-05,0.0047627348203660436,-0.002780076755964145,0.4992593371723397
