distribution,method,n,reps,mean_width_c1,mean_width_c05,mean_sqrt_n_width_c1,mean_sqrt_n_width_c05,mean_largest_component_width_c1,mean_largest_component_width_c05,width_relative_change,sqrt_n_width_relative_change,largest_component_width_relative_change
Bernoulli(0.1),Common-clock Efficient betting,1000,30,0.05068052360376645,0.05110725946757896,1.6026588759782705,1.6161534488675398,0.05068052360376645,0.05110725946757896,0.008420115528972039,0.008420115528971817,0.008420115528972039
Bernoulli(0.1),Common-clock Efficient betting,3000,30,0.02834898973228199,0.028390750514549326,1.5527381158853215,1.5550254481320098,0.02834898973228199,0.028390750514549326,0.0014730959607982541,0.0014730959607982541,0.0014730959607982541
Bernoulli(0.1),Common-clock Efficient betting,10000,30,0.015479860593037898,0.01548552423752475,1.5479860593037942,1.5485524237524795,0.015479860593037898,0.01548552423752475,0.0003658718018042517,0.0003658718018042517,0.0003658718018042517
Bernoulli(0.1),Common-clock Efficient betting,30000,30,0.008935531755249663,0.008941142509349527,1.547679499273761,1.5486513103907336,0.008935531755249663,0.008941142509349527,0.0006279149639378812,0.000627914963936993,0.0006279149639378812
Bernoulli(0.1),Common-clock Efficient betting,100000,30,0.0048957074595490065,0.00489552940892127,1.5481586330051664,1.5481023284529167,0.0048957074595490065,0.00489552940892127,-3.63687228469578e-05,-3.636872284873416e-05,-3.63687228469578e-05
Bernoulli(0.1),Common-clock Efficient betting,300000,30,0.0028211876628591636,0.0028210848429057168,1.5452281219032746,1.545171805095405,0.0028211876628591636,0.0028210848429057168,-3.6445627067061004e-05,-3.644562707039167e-05,-3.6445627067061004e-05
Bernoulli(0.1),Common-clock Efficient betting,1000000,30,0.0015452183830895602,0.0015450815983431333,1.5452183830896078,1.5450815983431876,0.0015452183830895602,0.0015450815983431333,-8.852130412362325e-05,-8.852130411929338e-05,-8.852130412362325e-05
Bernoulli(0.1),Common-clock Efficient betting,3000000,30,0.0008925458260562233,0.00089253981504003,1.545934718812976,1.5459243074275457,0.0008925458260562233,0.00089253981504003,-6.734686352150021e-06,-6.734686338050189e-06,-6.734686352150021e-06
Bernoulli(0.1),Common-clock Efficient betting,10000000,30,0.0004888198041572499,0.00048883563520029,1.5457839465345138,1.545834008688249,0.0004888198041572499,0.00048883563520029,3.2386255437000244e-05,3.238625543189322e-05,3.2386255437000244e-05
Bernoulli(0.1),Common-clock STaR betting,1000,30,0.0518768724129887,0.05200701427970477,1.640490747109996,1.6446061942876846,0.0518768724129887,0.05200701427970477,0.0025086683268029653,0.0025086683268031873,0.0025086683268029653
Bernoulli(0.1),Common-clock STaR betting,3000,30,0.028884872451886843,0.028887899923788485,1.5820896212558004,1.5822554427210744,0.028884872451886843,0.028887899923788485,0.00010481167630849164,0.00010481167630849164,0.00010481167630849164
Bernoulli(0.1),Common-clock STaR betting,10000,30,0.015861304582184498,0.015864870144397913,1.5861304582184548,1.586487014439797,0.015861304582184498,0.015864870144397913,0.00022479627668325897,0.00022479627668370306,0.00022479627668325897
Bernoulli(0.1),Common-clock STaR betting,30000,30,0.00916947784972061,0.009170438811388083,1.5882001514593602,1.5883665949025785,0.00916947784972061,0.009170438811388083,0.00010480004240398522,0.00010480004240354113,0.00010480004240398522
Bernoulli(0.1),Common-clock STaR betting,100000,30,0.0049892279402703596,0.00498932566678027,1.5777324057005049,1.577763309536411,0.0049892279402703596,0.00498932566678027,1.9587501529416684e-05,1.9587501527196238e-05,1.9587501529416684e-05
Bernoulli(0.1),Common-clock STaR betting,300000,30,0.0029002615279158967,0.0029002771936984034,1.5885386615039672,1.5885472420064255,0.0029002615279158967,0.0029002771936984034,5.401506848912163e-06,5.401506848023985e-06,5.401506848912163e-06
Bernoulli(0.1),Common-clock STaR betting,1000000,30,0.0015846210759081067,0.0015846339065233833,1.5846210759081525,1.5846339065234278,0.0015846210759081067,0.0015846339065233833,8.096961142234349e-06,8.09696114134617e-06,8.096961142234349e-06
Bernoulli(0.1),Common-clock STaR betting,3000000,30,0.00091322099230429,0.0009132202876800467,1.5817451572095889,1.5817439367645936,0.00091322099230429,0.0009132202876800467,-7.715813030717555e-07,-7.715813067354915e-07,-7.715813030717555e-07
Bernoulli(0.1),Common-clock STaR betting,10000000,30,0.00049968703914388,0.0004996870392087566,1.5801491609605334,1.5801491611656888,0.00049968703914388,0.0004996870392087566,1.2983436548097416e-10,1.298330332133446e-10,1.2983436548097416e-10
Bernoulli(0.1),Efficient betting,1000,30,0.049832162316180525,0.05027798956768179,1.5758313365034236,1.5899296320805911,0.049832162316180525,0.05027798956768179,0.00894657648352748,0.008946576483527702,0.00894657648352748
Bernoulli(0.1),Efficient betting,3000,30,0.028189553739386627,0.028230253525113925,1.544005446906619,1.5462346659794655,0.028189553739386627,0.028230253525113925,0.0014437896429140284,0.0014437896429140284,0.0014437896429140284
Bernoulli(0.1),Efficient betting,10000,30,0.015475979123584473,0.015481652666298617,1.5475979123584525,1.5481652666298669,0.015475979123584473,0.015481652666298617,0.0003666031511697643,0.0003666031511697643,0.0003666031511697643
Bernoulli(0.1),Efficient betting,30000,30,0.008934207774359267,0.008939835735691716,1.5474501790567181,1.548424970553801,0.008934207774359267,0.008939835735691716,0.0006299340103328444,0.0006299340103324003,0.0006299340103328444
Bernoulli(0.1),Efficient betting,100000,30,0.004892075333280916,0.004891876183604433,1.5470100538295193,1.5469470771722198,0.004892075333280916,0.004891876183604433,-4.070862832561417e-05,-4.070862832705746e-05,-4.070862832561417e-05
Bernoulli(0.1),Efficient betting,300000,30,0.0028219581762441,0.002821841754467477,1.5456501494650574,1.5455863826318144,0.0028219581762441,0.002821841754467477,-4.125567047841283e-05,-4.125567047963408e-05,-4.125567047841283e-05
Bernoulli(0.1),Efficient betting,1000000,30,0.0015455368110855801,0.0015453958945987967,1.5455368110856482,1.5453958945988586,0.0015455368110855801,0.0015453958945987967,-9.117640277001016e-05,-9.117640277400696e-05,-9.117640277001016e-05
Bernoulli(0.1),Efficient betting,3000000,30,0.0008925688576313066,0.0008925631111444501,1.5459746106712113,1.5459646574640262,0.0008925688576313066,0.0008925631111444501,-6.438144023790393e-06,-6.438144013798386e-06,-6.438144023790393e-06
Bernoulli(0.1),Efficient betting,10000000,30,0.0004888110387926767,0.0004888273515234099,1.54575622801795,1.5458078134019317,0.0004888110387926767,0.0004888273515234099,3.337226338739896e-05,3.337226339228394e-05,3.337226338739896e-05
Bernoulli(0.1),STaR betting,1000,30,0.051330812529680074,0.05148719277289894,1.623222817408986,1.628167994905213,,,0.003046517978425589,0.003046517978425589,
Bernoulli(0.1),STaR betting,3000,30,0.028783760195564882,0.02878595824690696,1.5765514748930223,1.5766718671232838,,,7.636428761026437e-05,7.636428761048641e-05,
