distribution,method,n,rep,width_c1,sqrt_n_width_c1,largest_component_width_c1,width_c05,sqrt_n_width_c05,largest_component_width_c05,width_relative_change,sqrt_n_width_relative_change,largest_component_width_relative_change
Bernoulli(0.1),Common-clock Efficient betting,1000,0,0.0506589882805439,1.6019778692629574,0.0506589882805439,0.0511111136411455,1.6162753285372202,0.0511111136411455,0.008924879393519936,0.008924879393521712,0.008924879393519936
Bernoulli(0.1),Common-clock Efficient betting,1000,1,0.0504641487389578,1.595816501966208,0.0504641487389578,0.0513219684903129,1.6229431443278222,0.0513219684903129,0.01699859747545629,0.01699859747545629,0.01699859747545629
Bernoulli(0.1),Common-clock Efficient betting,1000,2,0.0510905042347345,1.6156236018823904,0.0510905042347345,0.0516979385058117,1.6348323601368724,0.0516979385058117,0.011889377100025245,0.01188937710002591,0.011889377100025245
Bernoulli(0.1),Common-clock Efficient betting,1000,3,0.0531738099446911,1.6815035129413594,0.0531738099446911,0.053363943486045,1.6875160634440811,0.053363943486045,0.003575699043413927,0.003575699043413927,0.003575699043413927
Bernoulli(0.1),Common-clock Efficient betting,1000,4,0.0459181267790306,1.4520586651010805,0.0459181267790306,0.0461391685506419,1.4590486196643844,0.0461391685506419,0.0048138238015458246,0.0048138238015453805,0.0048138238015458246
Bernoulli(0.1),Common-clock Efficient betting,1000,5,0.0548054089479496,1.733099203724933,0.0548054089479496,0.0559294575912975,1.7686447428629497,0.0559294575912975,0.02050981216863912,0.02050981216863934,0.02050981216863912
Bernoulli(0.1),Common-clock Efficient betting,1000,6,0.0537981805147439,1.7012478439948044,0.0537981805147439,0.0528036572440127,1.669798256779298,0.0528036572440127,-0.018486187845305313,-0.018486187845304092,-0.018486187845305313
Bernoulli(0.1),Common-clock Efficient betting,1000,7,0.0520033780447655,1.644491206442528,0.0520033780447655,0.0528117593809439,1.6700544688454677,0.0528117593809439,0.01554478509997037,0.015544785099970149,0.01554478509997037
Bernoulli(0.1),Common-clock Efficient betting,1000,8,0.0432357006152172,1.3672329017722973,0.0432357006152172,0.0430626315485316,1.361759977339836,0.0430626315485316,-0.004002920369577279,-0.004002920369577834,-0.004002920369577279
Bernoulli(0.1),Common-clock Efficient betting,1000,9,0.0491114547548078,1.553040562294991,0.0491114547548078,0.0496233155173326,1.5692270208394783,0.0496233155173326,0.01042243128574194,0.010422431285740386,0.01042243128574194
Bernoulli(0.1),Common-clock Efficient betting,1000,10,0.0465022962242062,1.4705317249633971,0.0465022962242062,0.0466079499107995,1.4738727878916829,0.0466079499107995,0.0022720100978219637,0.002272010097822852,0.0022720100978219637
Bernoulli(0.1),Common-clock Efficient betting,1000,11,0.0473987895568296,1.4988813333458462,0.0473987895568296,0.0473545786671574,1.497483262258382,0.0473545786671574,-0.0009327430106457202,-0.000932743010644721,-0.0009327430106457202
Bernoulli(0.1),Common-clock Efficient betting,1000,12,0.0508933656461525,1.6093895323360905,0.0508933656461525,0.0516548982207561,1.6334713068176867,0.0516548982207561,0.01496329757199244,0.014963297571993328,0.01496329757199244
Bernoulli(0.1),Common-clock Efficient betting,1000,13,0.0449440927944294,1.421257006003588,0.0449440927944294,0.0451377392333491,1.427380644081259,0.0451377392333491,0.004308607135656839,0.004308607135657949,0.004308607135656839
Bernoulli(0.1),Common-clock Efficient betting,1000,14,0.0491923105183439,1.5555974460422517,0.0491923105183439,0.0487829439944262,1.5426521399081925,0.0487829439944262,-0.008321758413137426,-0.008321758413138758,-0.008321758413137426
Bernoulli(0.1),Common-clock Efficient betting,1000,15,0.0552456886911952,1.7470220716878362,0.0552456886911952,0.0560835878201024,1.7735187686560148,0.0560835878201024,0.01516677859861204,0.015166778598612485,0.01516677859861204
Bernoulli(0.1),Common-clock Efficient betting,1000,16,0.0512100769906968,1.6194048244318349,0.0512100769906968,0.0518102479123789,1.6383838954110128,0.0518102479123789,0.011719781670922469,0.011719781670921359,0.011719781670922469
