distribution,n,rep,method,calibration,lower,upper,width,sqrt_n_width,empty,noncoverage,sample_mean_excluded,poisson_round_fraction,evaluations,solvency_c,third_moment_shrinkage,skewness_epsilon
"Beta(2,2)",10,0,PE-betting,Deterministic,0.1919642803259194,0.7383864601142704,0.5464221797883511,1.7279386521652125,False,False,False,0.0,61,0.75,10.0,0.05
"Beta(2,2)",10,0,PE-betting,Uniformly randomized,0.19674929650500417,0.7280348562635481,0.531285559758544,1.6800724567944962,False,False,False,0.0,61,0.75,10.0,0.05
"Beta(2,2)",10,1,PE-betting,Deterministic,0.11226297402754426,0.7925684195943177,0.6803054455667734,2.151314712606703,False,False,False,0.0,61,0.75,10.0,0.05
"Beta(2,2)",10,1,PE-betting,Uniformly randomized,0.14203391270712018,0.7276697312481701,0.58563581854105,1.8519430659667853,False,False,False,0.0,61,0.75,10.0,0.05
"Beta(2,2)",10,2,PE-betting,Deterministic,0.1954931733198464,0.7327728508971632,0.5372796775773168,1.6990275216652186,False,False,False,0.1,61,0.75,10.0,0.05
"Beta(2,2)",10,2,PE-betting,Uniformly randomized,0.19914330495521426,0.6702868682332337,0.47114356327801943,1.4898867648862082,False,False,False,0.1,61,0.75,10.0,0.05
"Beta(2,2)",10,3,PE-betting,Deterministic,0.2261401223950088,0.950248880777508,0.7241087583824992,2.28983295016524,False,False,False,0.0,61,0.75,10.0,0.05
"Beta(2,2)",10,3,PE-betting,Uniformly randomized,0.2264707679860294,0.8772384370677173,0.6507676690816879,2.0579080618968706,False,False,False,0.0,61,0.75,10.0,0.05
"Beta(2,2)",10,4,PE-betting,Deterministic,0.07900633802637458,0.7282201792113483,0.6492138411849737,2.0529944266513445,False,False,False,0.3,61,0.75,10.0,0.05
"Beta(2,2)",10,4,PE-betting,Uniformly randomized,0.22726977663114667,0.6922956011258066,0.4650258244946599,1.4705407762008447,False,False,False,0.3,61,0.75,10.0,0.05
"Beta(2,2)",10,5,PE-betting,Deterministic,0.27878626016899943,1.0,0.7212137398310006,2.280678097674063,False,False,False,0.0,32,0.75,10.0,0.05
"Beta(2,2)",10,5,PE-betting,Uniformly randomized,0.2994373724795878,0.8580205994658172,0.5585832269862294,1.7663952600433164,False,False,False,0.0,61,0.75,10.0,0.05
"Beta(2,2)",10,6,PE-betting,Deterministic,0.22366445465013385,0.7725690412335098,0.5489045865833759,1.7357887117165698,False,False,False,0.0,61,0.75,10.0,0.05
"Beta(2,2)",10,6,PE-betting,Uniformly randomized,0.28450862551108,0.7698446162976325,0.48533599078655243,1.5347671613400011,False,False,False,0.0,61,0.75,10.0,0.05
"Beta(2,2)",10,7,PE-betting,Deterministic,0.13844672916457057,0.7321941978298128,0.5937474686652422,1.8775943559416204,False,False,False,0.0,61,0.75,10.0,0.05
"Beta(2,2)",10,7,PE-betting,Uniformly randomized,0.21804447332397103,0.619910039473325,0.401865566149354,1.2708105022250202,False,False,False,0.0,61,0.75,10.0,0.05
"Beta(2,2)",10,8,PE-betting,Deterministic,0.17583025665953755,0.7130824481137097,0.5372521914541721,1.6989406029120337,False,False,False,0.2,61,0.75,10.0,0.05
"Beta(2,2)",10,8,PE-betting,Uniformly randomized,0.1794505869038403,0.5029939156956971,0.32354332879185677,1.0231338407350015,False,False,False,0.2,61,0.75,10.0,0.05
"Beta(2,2)",10,9,PE-betting,Deterministic,0.2504377136938274,0.9228323926217854,0.672394678927958,2.126298671989972,False,False,False,0.0,61,0.75,10.0,0.05
"Beta(2,2)",10,9,PE-betting,Uniformly randomized,0.2751188832335174,0.8331936779431999,0.5580747947096825,1.7647874560134833,False,False,False,0.0,61,0.75,10.0,0.05
"Beta(2,2)",10,10,PE-betting,Deterministic,0.18682792177423835,0.8020321778021753,0.6152042560279369,1.9454466752776531,False,False,False,0.0,61,0.75,10.0,0.05
"Beta(2,2)",10,10,PE-betting,Uniformly randomized,0.326672759372741,0.7737208507023752,0.4470480913296342,1.4136901922326157,False,False,False,0.0,61,0.75,10.0,0.05
"Beta(2,2)",10,11,PE-betting,Deterministic,0.2168678236193955,0.724010341335088,0.5071425177156925,1.603725454293881,False,False,False,0.0,61,0.75,10.0,0.05
"Beta(2,2)",10,11,PE-betting,Uniformly randomized,0.22350486228242517,0.7180568431504071,0.4945519808679819,1.563910680890839,False,False,False,0.0,61,0.75,10.0,0.05
"Beta(2,2)",10,12,PE-betting,Deterministic,0.2801367356441915,0.8764572604559362,0.5963205248117447,1.885731073912064,False,False,False,0.0,61,0.75,10.0,0.05
"Beta(2,2)",10,12,PE-betting,Uniformly randomized,0.40015314193442464,0.8235144088976085,0.4233612669631839,1.3387858766982579,False,False,False,0.0,61,0.75,10.0,0.05
