distribution,n,rep,method,lower,upper,width,sqrt_n_width,backend
Bernoulli(0.1),10,0,Gaffke,0.0,0.4112959813475253,0.4112959813475253,1.30063209353231,beta-exact
Bernoulli(0.1),10,0,Randomized Gaffke,0.0,0.4009693085015653,0.4009693085015653,1.2679762866876632,beta-exact+product-orthant
Bernoulli(0.1),10,1,Gaffke,0.0,0.4112959813475253,0.4112959813475253,1.30063209353231,beta-exact
Bernoulli(0.1),10,1,Randomized Gaffke,0.0,0.404337642225533,0.404337642225533,1.278627893174958,beta-exact+product-orthant
Bernoulli(0.1),10,2,Gaffke,0.0,0.4112959813475253,0.4112959813475253,1.30063209353231,beta-exact
Bernoulli(0.1),10,2,Randomized Gaffke,0.0,0.3599149567736577,0.3599149567736577,1.1381510273658058,beta-exact+product-orthant
Bernoulli(0.1),10,3,Gaffke,0.0005011285754646,0.5442870568996868,0.5437859283242222,1.7196020930536116,beta-exact
Bernoulli(0.1),10,3,Randomized Gaffke,0.0005011285754646,0.5442870568996868,0.5437859283242222,1.7196020930536116,beta-exact+product-orthant
Bernoulli(0.1),10,4,Gaffke,0.0005011285754646,0.5442870568996868,0.5437859283242222,1.7196020930536116,beta-exact
Bernoulli(0.1),10,4,Randomized Gaffke,0.0005011285754646,0.5442870568996868,0.5437859283242222,1.7196020930536116,beta-exact+product-orthant
Bernoulli(0.1),10,5,Gaffke,0.0108505093797404,0.6482011663048368,0.6373506569250963,2.015479744087873,beta-exact
Bernoulli(0.1),10,5,Randomized Gaffke,0.0108505093797404,0.6482011663048368,0.6373506569250963,2.015479744087873,beta-exact+product-orthant
Bernoulli(0.1),10,6,Gaffke,0.0,0.4112959813475253,0.4112959813475253,1.30063209353231,beta-exact
Bernoulli(0.1),10,6,Randomized Gaffke,0.0,0.3393571137059723,0.3393571137059723,1.073141419491617,beta-exact+product-orthant
Bernoulli(0.1),10,7,Gaffke,0.0005011285754646,0.5442870568996868,0.5437859283242222,1.7196020930536116,beta-exact
Bernoulli(0.1),10,7,Randomized Gaffke,0.0005011285754646,0.5442870568996868,0.5437859283242222,1.7196020930536116,beta-exact+product-orthant
Bernoulli(0.1),10,8,Gaffke,0.0005011285754646,0.5442870568996868,0.5437859283242222,1.7196020930536116,beta-exact
