distribution,true_mean,true_variance,replication,n,sampling_fraction,method,lower,upper,width,normalized_width
"Beta(0.5,0.5)",0.5,0.125,32,125,0.0125,Hedged-CS,0.429561972618103,0.6113768815994263,0.18181490898132324,1.4667341581077813
"Beta(0.5,0.5)",0.5,0.125,32,200,0.02,Hedged-CS,0.4500308036804199,0.5992656350135803,0.1492348313331604,1.5228323837611886
"Beta(0.5,0.5)",0.5,0.125,32,350,0.035,Hedged-CS,0.4549943804740906,0.5698619484901428,0.11486756801605225,1.5505949143682365
"Beta(0.5,0.5)",0.5,0.125,32,500,0.05,Hedged-CS,0.4549943804740906,0.5503961443901062,0.09540176391601562,1.5392469920464946
"Beta(0.5,0.5)",0.5,0.125,32,1000,0.1,Hedged-CS,0.4581737518310547,0.5365129709243774,0.07833921909332275,1.7875003885648113
"Beta(0.5,0.5)",0.5,0.125,32,2000,0.2,Hedged-CS,0.4723018407821655,0.5326168537139893,0.06031501293182373,1.9462890080792223
"Beta(0.5,0.5)",0.5,0.125,32,5000,0.5,Hedged-CS,0.4804016351699829,0.5223981738090515,0.041996538639068604,2.1427199157908996
"Beta(0.5,0.5)",0.5,0.125,32,10000,1.0,Hedged-CS,0.4851335287094116,0.5169471502304077,0.031813621520996094,2.295514375676417
"Beta(0.5,0.5)",0.5,0.125,33,10,0.001,Stitched GE,0.15847712755203247,0.8197075128555298,0.6612303853034973,1.5087584282054771
"Beta(0.5,0.5)",0.5,0.125,33,20,0.002,Stitched GE,0.20823800563812256,0.6522557139396667,0.4440177083015442,1.4327888581183656
"Beta(0.5,0.5)",0.5,0.125,33,40,0.004,Stitched GE,0.3107540011405945,0.610937237739563,0.3001832365989685,1.3698825652629822
"Beta(0.5,0.5)",0.5,0.125,33,75,0.0075,Stitched GE,0.34850168228149414,0.596854567527771,0.24835288524627686,1.5519107743811982
"Beta(0.5,0.5)",0.5,0.125,33,125,0.0125,Stitched GE,0.41317373514175415,0.5898270606994629,0.17665332555770874,1.425094719627431
"Beta(0.5,0.5)",0.5,0.125,33,200,0.02,Stitched GE,0.4696674346923828,0.590499758720398,0.12083232402801514,1.2330055550114707
"Beta(0.5,0.5)",0.5,0.125,33,350,0.035,Stitched GE,0.4803823232650757,0.5886189341545105,0.10823661088943481,1.4610837618687778
"Beta(0.5,0.5)",0.5,0.125,33,500,0.05,Stitched GE,0.4787455201148987,0.5659403204917908,0.08719480037689209,1.4068328371829444
"Beta(0.5,0.5)",0.5,0.125,33,1000,0.1,Stitched GE,0.47901493310928345,0.5456299781799316,0.0666150450706482,1.519984757649893
"Beta(0.5,0.5)",0.5,0.125,33,2000,0.2,Stitched GE,0.4788218140602112,0.5240548849105835,0.045233070850372314,1.4596138559608591
"Beta(0.5,0.5)",0.5,0.125,33,5000,0.5,Stitched GE,0.4830252528190613,0.5156163573265076,0.03259110450744629,1.6628420095736842
"Beta(0.5,0.5)",0.5,0.125,33,10000,1.0,Stitched GE,0.4904549717903137,0.5127429962158203,0.022288024425506592,1.6081941642642508
"Beta(0.5,0.5)",0.5,0.125,33,10,0.001,aGRAPA,0.2005904341502483,0.7825310733320264,0.5819406391817781,1.3278395300569776
"Beta(0.5,0.5)",0.5,0.125,33,20,0.002,aGRAPA,0.23080912938179876,0.6085424054255788,0.37773327604378004,1.2188973978680273
"Beta(0.5,0.5)",0.5,0.125,33,40,0.004,aGRAPA,0.32778693247888685,0.6263880995774845,0.2986011670985977,1.3626628102555178
"Beta(0.5,0.5)",0.5,0.125,33,75,0.0075,aGRAPA,0.35795755712709765,0.5881205839897049,0.23016302686260726,1.438245748174267
"Beta(0.5,0.5)",0.5,0.125,33,125,0.0125,aGRAPA,0.4167888940242232,0.600014482398371,0.18322558837414776,1.4781143670421708
"Beta(0.5,0.5)",0.5,0.125,33,200,0.02,aGRAPA,0.4698485621639015,0.6162707958844889,0.14642223372058738,1.4941318807442105
"Beta(0.5,0.5)",0.5,0.125,33,350,0.035,aGRAPA,0.4728748591520611,0.5913018011256448,0.11842694197358367,1.5986428294778494
"Beta(0.5,0.5)",0.5,0.125,33,500,0.05,aGRAPA,0.4611607823431,0.5650987906957894,0.1039380083526894,1.6769738854830838
"Beta(0.5,0.5)",0.5,0.125,33,1000,0.1,aGRAPA,0.468072457081395,0.545804660769725,0.07773220368833,1.773649851313517
"Beta(0.5,0.5)",0.5,0.125,33,2000,0.2,aGRAPA,0.46988684448571877,0.5270640982849168,0.05717725379919808,1.8450374984968163
"Beta(0.5,0.5)",0.5,0.125,33,5000,0.5,aGRAPA,0.48093397804453974,0.5182270278362913,0.03729304979175152,1.902741585351279
"Beta(0.5,0.5)",0.5,0.125,33,10000,1.0,aGRAPA,0.4880440776271719,0.5150556082513116,0.02701153062413969,1.949019127414169
"Beta(0.5,0.5)",0.5,0.125,33,10,0.001,PRECiSE-A-CO96,0.10173573908626593,0.8837112196298005,0.7819754805435346,1.7842678182106912
"Beta(0.5,0.5)",0.5,0.125,33,20,0.002,PRECiSE-A-CO96,0.12116095574276692,0.7413589671084366,0.6201980113656698,2.001300362345951
"Beta(0.5,0.5)",0.5,0.125,33,40,0.004,PRECiSE-A-CO96,0.24520952565725013,0.7320903195971578,0.48688079393990763,2.221874607444252
"Beta(0.5,0.5)",0.5,0.125,33,75,0.0075,PRECiSE-A-CO96,0.3094477959759192,0.6454128083708405,0.33596501239492127,2.0993825863297775
"Beta(0.5,0.5)",0.5,0.125,33,125,0.0125,PRECiSE-A-CO96,0.39110985962502465,0.642511573376208,0.25140171375118336,2.0281036523994507
"Beta(0.5,0.5)",0.5,0.125,33,200,0.02,PRECiSE-A-CO96,0.45290150446086597,0.6520748395890414,0.19917333512817548,2.0324183168591805
"Beta(0.5,0.5)",0.5,0.125,33,350,0.035,PRECiSE-A-CO96,0.46172305358903587,0.6109665652594749,0.14924351167043903,2.014635063626488
"Beta(0.5,0.5)",0.5,0.125,33,500,0.05,PRECiSE-A-CO96,0.45259207796016687,0.5775874794351312,0.12499540147496435,2.0167215766508884
"Beta(0.5,0.5)",0.5,0.125,33,1000,0.1,PRECiSE-A-CO96,0.4629923168618201,0.5524884366763588,0.08949611981453875,2.042072295269616
"Beta(0.5,0.5)",0.5,0.125,33,2000,0.2,PRECiSE-A-CO96,0.46675278007316884,0.5306676817345863,0.0639149016614175,2.0624528539302753
"Beta(0.5,0.5)",0.5,0.125,33,5000,0.5,PRECiSE-A-CO96,0.47932089707132897,0.5200864367984586,0.040765539727129596,2.0799126947578106
"Beta(0.5,0.5)",0.5,0.125,33,10000,1.0,PRECiSE-A-CO96,0.4870256714888638,0.5162238363245757,0.029198164835711915,2.1067958918009966
"Beta(0.5,0.5)",0.5,0.125,33,10,0.001,Hedged-CS,0.2101922631263733,0.774573802947998,0.5643815398216248,1.2877741614046145
"Beta(0.5,0.5)",0.5,0.125,33,20,0.002,Hedged-CS,0.2655353546142578,0.6301588416099548,0.364623486995697,1.1765937704919338
"Beta(0.5,0.5)",0.5,0.125,33,40,0.004,Hedged-CS,0.3209789991378784,0.5760223865509033,0.2550433874130249,1.1638874101070162
"Beta(0.5,0.5)",0.5,0.125,33,75,0.0075,Hedged-CS,0.3559530973434448,0.5760223865509033,0.2200692892074585,1.3751718676140756
"Beta(0.5,0.5)",0.5,0.125,33,125,0.0125,Hedged-CS,0.3988790512084961,0.5686188340187073,0.16973978281021118,1.3693219045260323
"Beta(0.5,0.5)",0.5,0.125,33,200,0.02,Hedged-CS,0.4402192234992981,0.5686188340187073,0.12839961051940918,1.3102241830177384
"Beta(0.5,0.5)",0.5,0.125,33,350,0.035,Hedged-CS,0.45865362882614136,0.5686188340187073,0.10996520519256592,1.4844180204566015
"Beta(0.5,0.5)",0.5,0.125,33,500,0.05,Hedged-CS,0.45964348316192627,0.5617372989654541,0.10209381580352783,1.6472190076115336
"Beta(0.5,0.5)",0.5,0.125,33,1000,0.1,Hedged-CS,0.467063844203949,0.5465682148933411,0.07950437068939209,1.8140861645632902
"Beta(0.5,0.5)",0.5,0.125,33,2000,0.2,Hedged-CS,0.471790075302124,0.5326957106590271,0.060905635356903076,1.9653476450251577
"Beta(0.5,0.5)",0.5,0.125,33,5000,0.5,Hedged-CS,0.480263352394104,0.5226185917854309,0.042355239391326904,2.1610213108720178
"Beta(0.5,0.5)",0.5,0.125,33,10000,1.0,Hedged-CS,0.4862788915634155,0.518317699432373,0.03203880786895752,2.3117627144142867
"Beta(0.5,0.5)",0.5,0.125,34,10,0.001,Stitched GE,0.16535037755966187,0.9392595887184143,0.7739092111587524,1.7658626568796978
"Beta(0.5,0.5)",0.5,0.125,34,20,0.002,Stitched GE,0.27007412910461426,0.7772833704948425,0.5072092413902283,1.6366999248260845
"Beta(0.5,0.5)",0.5,0.125,34,40,0.004,Stitched GE,0.3056564927101135,0.6432642936706543,0.33760780096054077,1.54066911154828
"Beta(0.5,0.5)",0.5,0.125,34,75,0.0075,Stitched GE,0.346906840801239,0.6170313954353333,0.27012455463409424,1.6879578682803242
"Beta(0.5,0.5)",0.5,0.125,34,125,0.0125,Stitched GE,0.3648732900619507,0.5726556181907654,0.2077823281288147,1.6762180825830852
"Beta(0.5,0.5)",0.5,0.125,34,200,0.02,Stitched GE,0.38333064317703247,0.5445528030395508,0.1612221598625183,1.6451543103262931
"Beta(0.5,0.5)",0.5,0.125,34,350,0.035,Stitched GE,0.42646288871765137,0.5423924922943115,0.11592960357666016,1.5649313103379563
"Beta(0.5,0.5)",0.5,0.125,34,500,0.05,Stitched GE,0.45094025135040283,0.5436320900917053,0.09269183874130249,1.4955240669911434
"Beta(0.5,0.5)",0.5,0.125,34,1000,0.1,Stitched GE,0.472398042678833,0.5370573997497559,0.06465935707092285,1.4753609651245148
"Beta(0.5,0.5)",0.5,0.125,34,2000,0.2,Stitched GE,0.4717574715614319,0.5080698728561401,0.03631240129470825,1.1717551578201315
"Beta(0.5,0.5)",0.5,0.125,34,5000,0.5,Stitched GE,0.47218137979507446,0.501651406288147,0.02947002649307251,1.5036004092691662
"Beta(0.5,0.5)",0.5,0.125,34,10000,1.0,Stitched GE,0.4865049123764038,0.5016923546791077,0.015187442302703857,1.0958510999008477
"Beta(0.5,0.5)",0.5,0.125,34,10,0.001,aGRAPA,0.22752111535479747,0.9028364639646151,0.6753153486098177,1.5408967079513811
"Beta(0.5,0.5)",0.5,0.125,34,20,0.002,aGRAPA,0.2919120502268084,0.7515193809254468,0.4596073306986384,1.4830945933519248
"Beta(0.5,0.5)",0.5,0.125,34,40,0.004,aGRAPA,0.3203672983901548,0.654194404203547,0.3338271058133922,1.5234159550251787
"Beta(0.5,0.5)",0.5,0.125,34,75,0.0075,aGRAPA,0.3604089991463179,0.615604004619386,0.2551950054730681,1.5946659052065932
"Beta(0.5,0.5)",0.5,0.125,34,125,0.0125,aGRAPA,0.3713130216253627,0.5720036455320631,0.20069062390670034,1.6190080062474816
"Beta(0.5,0.5)",0.5,0.125,34,200,0.02,aGRAPA,0.3903382156495999,0.5497407506754611,0.15940253502586121,1.6265863687619577
"Beta(0.5,0.5)",0.5,0.125,34,350,0.035,aGRAPA,0.42159110682872686,0.5441837970820884,0.12259269025336156,1.6548761789665332
"Beta(0.5,0.5)",0.5,0.125,34,500,0.05,aGRAPA,0.44874947705160284,0.5544435519158037,0.1056940748642009,1.7053069055942969
"Beta(0.5,0.5)",0.5,0.125,34,1000,0.1,aGRAPA,0.46799023761445663,0.5450161208807294,0.07702588326627274,1.7575334278478378
"Beta(0.5,0.5)",0.5,0.125,34,2000,0.2,aGRAPA,0.45537357757398533,0.5118538770990919,0.05648029952510658,1.8225476675764218
"Beta(0.5,0.5)",0.5,0.125,34,5000,0.5,aGRAPA,0.4691111062078674,0.5066933484441817,0.03758224223631429,1.9174965730369653
"Beta(0.5,0.5)",0.5,0.125,34,10000,1.0,aGRAPA,0.48401025808418563,0.511387023403373,0.027376765319187424,1.9753726657067066
"Beta(0.5,0.5)",0.5,0.125,34,10,0.001,PRECiSE-A-CO96,0.15775614842432406,0.9311294826281491,0.773373334203825,1.7646399228822927
"Beta(0.5,0.5)",0.5,0.125,34,20,0.002,PRECiSE-A-CO96,0.19627913315433104,0.8267264672441264,0.6304473340897954,2.034373627505938
"Beta(0.5,0.5)",0.5,0.125,34,40,0.004,PRECiSE-A-CO96,0.23230549497188047,0.7185611313227804,0.48625563635089997,2.219021708356927
"Beta(0.5,0.5)",0.5,0.125,34,75,0.0075,PRECiSE-A-CO96,0.30051169795683225,0.65923518469682,0.3587234867399877,2.2415960400191226
"Beta(0.5,0.5)",0.5,0.125,34,125,0.0125,PRECiSE-A-CO96,0.3309104528367039,0.598457465180545,0.2675470123438411,2.158350732088241
"Beta(0.5,0.5)",0.5,0.125,34,200,0.02,PRECiSE-A-CO96,0.36481608265449317,0.5675790586806524,0.20276297602615923,2.0690479786927485
"Beta(0.5,0.5)",0.5,0.125,34,350,0.035,PRECiSE-A-CO96,0.4070789326824813,0.55536794188999,0.14828900920750865,2.001750254708404
"Beta(0.5,0.5)",0.5,0.125,34,500,0.05,PRECiSE-A-CO96,0.4392120282394454,0.5634794139304313,0.12426738569098594,2.00497550341646
"Beta(0.5,0.5)",0.5,0.125,34,1000,0.1,PRECiSE-A-CO96,0.4627655108645735,0.5502016023731577,0.08743609150858422,1.9950677241242025
"Beta(0.5,0.5)",0.5,0.125,34,2000,0.2,PRECiSE-A-CO96,0.4516560287993252,0.5146042045636341,0.06294817576430889,2.0312578347151624
"Beta(0.5,0.5)",0.5,0.125,34,5000,0.5,PRECiSE-A-CO96,0.46739926196074943,0.5081387119580296,0.040739449997280186,2.078581561632141
"Beta(0.5,0.5)",0.5,0.125,34,10000,1.0,PRECiSE-A-CO96,0.4830389763024385,0.5123093905922522,0.029270414289813695,2.112009056872944
"Beta(0.5,0.5)",0.5,0.125,34,10,0.001,Hedged-CS,0.23268085718154907,0.8556249737739563,0.6229441165924072,1.4213989663805588
"Beta(0.5,0.5)",0.5,0.125,34,20,0.002,Hedged-CS,0.30837082862854004,0.7546162009239197,0.44624537229537964,1.4399772474333057
"Beta(0.5,0.5)",0.5,0.125,34,40,0.004,Hedged-CS,0.3438776135444641,0.6658169031143188,0.32193928956985474,1.4691660495488512
"Beta(0.5,0.5)",0.5,0.125,34,75,0.0075,Hedged-CS,0.375806987285614,0.6256847977638245,0.24987781047821045,1.5614397472184443
"Beta(0.5,0.5)",0.5,0.125,34,125,0.0125,Hedged-CS,0.3890921473503113,0.5864439010620117,0.19735175371170044,1.5920727290915395
"Beta(0.5,0.5)",0.5,0.125,34,200,0.02,Hedged-CS,0.39930737018585205,0.5618978142738342,0.16259044408798218,1.659116650820881
"Beta(0.5,0.5)",0.5,0.125,34,350,0.035,Hedged-CS,0.42695266008377075,0.5512215495109558,0.12426888942718506,1.6775031567923
"Beta(0.5,0.5)",0.5,0.125,34,500,0.05,Hedged-CS,0.4413970112800598,0.5480880737304688,0.10669106245040894,1.7213926683746303
"Beta(0.5,0.5)",0.5,0.125,34,1000,0.1,Hedged-CS,0.45980656147003174,0.5399541854858398,0.0801476240158081,1.8287635583926123
"Beta(0.5,0.5)",0.5,0.125,34,2000,0.2,Hedged-CS,0.4598647356033325,0.5202570557594299,0.06039232015609741,1.9487836142068717
"Beta(0.5,0.5)",0.5,0.125,34,5000,0.5,Hedged-CS,0.4684613347053528,0.5104919672012329,0.04203063249588013,2.1444594302452695
"Beta(0.5,0.5)",0.5,0.125,34,10000,1.0,Hedged-CS,0.4787222146987915,0.5104919672012329,0.031769752502441406,2.2923490031748095
"Beta(0.5,0.5)",0.5,0.125,35,10,0.001,Stitched GE,0.341264009475708,1.0,0.658735990524292,1.5030668580204947
"Beta(0.5,0.5)",0.5,0.125,35,20,0.002,Stitched GE,0.351993203163147,0.829747200012207,0.47775399684906006,1.541651584629985
"Beta(0.5,0.5)",0.5,0.125,35,40,0.004,Stitched GE,0.3486585021018982,0.6611343622207642,0.31247586011886597,1.4259798038431166
"Beta(0.5,0.5)",0.5,0.125,35,75,0.0075,Stitched GE,0.3469633460044861,0.5756043195724487,0.22864097356796265,1.4287347215365092
"Beta(0.5,0.5)",0.5,0.125,35,125,0.0125,Stitched GE,0.41324543952941895,0.5876296162605286,0.17438417673110962,1.4067890805989782
"Beta(0.5,0.5)",0.5,0.125,35,200,0.02,Stitched GE,0.4303573966026306,0.5849300622940063,0.15457266569137573,1.5773010821691134
"Beta(0.5,0.5)",0.5,0.125,35,350,0.035,Stitched GE,0.44755977392196655,0.5677157044410706,0.120155930519104,1.6219824099354954
"Beta(0.5,0.5)",0.5,0.125,35,500,0.05,Stitched GE,0.44732165336608887,0.542721152305603,0.09539949893951416,1.5392104480862592
"Beta(0.5,0.5)",0.5,0.125,35,1000,0.1,Stitched GE,0.45410656929016113,0.5230722427368164,0.06896567344665527,1.5736200782991674
"Beta(0.5,0.5)",0.5,0.125,35,2000,0.2,Stitched GE,0.46255797147750854,0.5125622153282166,0.05000424385070801,1.6135735604326815
"Beta(0.5,0.5)",0.5,0.125,35,5000,0.5,Stitched GE,0.47742366790771484,0.5091984868049622,0.031774818897247314,1.6211940192719374
"Beta(0.5,0.5)",0.5,0.125,35,10000,1.0,Stitched GE,0.48784077167510986,0.508683979511261,0.020843207836151123,1.503943309048274
"Beta(0.5,0.5)",0.5,0.125,35,10,0.001,aGRAPA,0.3922409232308715,0.9999999925494242,0.6077590693185526,1.3867505767022608
"Beta(0.5,0.5)",0.5,0.125,35,20,0.002,aGRAPA,0.3866564840193632,0.8129241943955412,0.426267710376178,1.375511864918317
"Beta(0.5,0.5)",0.5,0.125,35,40,0.004,aGRAPA,0.36048363229768293,0.6809066501342755,0.3204230178365926,1.462246561854834
"Beta(0.5,0.5)",0.5,0.125,35,75,0.0075,aGRAPA,0.34502099160823085,0.5733432855192951,0.2283222939110643,1.426743351906854
"Beta(0.5,0.5)",0.5,0.125,35,125,0.0125,aGRAPA,0.4280520576541896,0.6189686101629637,0.1909165525087741,1.5401587828067609
"Beta(0.5,0.5)",0.5,0.125,35,200,0.02,aGRAPA,0.43563167317718404,0.5885955999735324,0.15296392679634835,1.560885077510692
"Beta(0.5,0.5)",0.5,0.125,35,350,0.035,aGRAPA,0.44663974528750366,0.5661434578591504,0.11950371257164677,1.6131781334120685
"Beta(0.5,0.5)",0.5,0.125,35,500,0.05,aGRAPA,0.443572450493521,0.5466775093278339,0.10310505883431287,1.663534772954553
"Beta(0.5,0.5)",0.5,0.125,35,1000,0.1,aGRAPA,0.45015852338190643,0.5237981214235531,0.07363959804164666,1.6802670697596918
"Beta(0.5,0.5)",0.5,0.125,35,2000,0.2,aGRAPA,0.4612376033554624,0.5152998793180299,0.05406227596256752,1.74452111245712
"Beta(0.5,0.5)",0.5,0.125,35,5000,0.5,aGRAPA,0.47548027060942977,0.5115121125810138,0.036031841971584044,1.8383930651684735
"Beta(0.5,0.5)",0.5,0.125,35,10000,1.0,aGRAPA,0.48601386780572314,0.5121977107694237,0.02618384296370052,1.8892972588474557
"Beta(0.5,0.5)",0.5,0.125,35,10,0.001,PRECiSE-A-CO96,0.28376399903587096,0.9840378540184656,0.7002738549825946,1.597845628754625
"Beta(0.5,0.5)",0.5,0.125,35,20,0.002,PRECiSE-A-CO96,0.26547790519676995,0.8837761120276291,0.6182982068308591,1.9951699339436884
"Beta(0.5,0.5)",0.5,0.125,35,40,0.004,PRECiSE-A-CO96,0.2577862000542993,0.7448342802174379,0.4870480801631386,2.222638016098277
"Beta(0.5,0.5)",0.5,0.125,35,75,0.0075,PRECiSE-A-CO96,0.2731101042600619,0.6213852115859503,0.3482751073258884,2.176306069373185
"Beta(0.5,0.5)",0.5,0.125,35,125,0.0125,PRECiSE-A-CO96,0.39023326243128353,0.6523645463657752,0.2621312839344917,2.1146610594781503
"Beta(0.5,0.5)",0.5,0.125,35,200,0.02,PRECiSE-A-CO96,0.40949292778426694,0.6106227231964959,0.20112979541222897,2.052382564156435
"Beta(0.5,0.5)",0.5,0.125,35,350,0.035,PRECiSE-A-CO96,0.42978685883166023,0.5803904358499945,0.15060357701833427,2.0329945575034722
"Beta(0.5,0.5)",0.5,0.125,35,500,0.05,PRECiSE-A-CO96,0.4299768726434511,0.5572430244736253,0.1272661518301742,2.0533586943568274
"Beta(0.5,0.5)",0.5,0.125,35,1000,0.1,PRECiSE-A-CO96,0.44194751010569566,0.5302652480605011,0.08831773795480546,2.0151846385310193
"Beta(0.5,0.5)",0.5,0.125,35,2000,0.2,PRECiSE-A-CO96,0.4563457013682742,0.5193981505112303,0.0630524491429561,2.0346226044603957
"Beta(0.5,0.5)",0.5,0.125,35,5000,0.5,PRECiSE-A-CO96,0.4729261197310351,0.513794637801716,0.04086851807068087,2.0851667884229776
"Beta(0.5,0.5)",0.5,0.125,35,10000,1.0,PRECiSE-A-CO96,0.48442779721304974,0.5136870489503331,0.029259251737283387,2.111203622012733
"Beta(0.5,0.5)",0.5,0.125,35,10,0.001,Hedged-CS,0.37358468770980835,0.9928568005561829,0.6192721128463745,1.4130203940654253
"Beta(0.5,0.5)",0.5,0.125,35,20,0.002,Hedged-CS,0.4048830270767212,0.8309027552604675,0.42601972818374634,1.3747116578191745
"Beta(0.5,0.5)",0.5,0.125,35,40,0.004,Hedged-CS,0.4090663194656372,0.708219051361084,0.2991527318954468,1.3651798695269715
"Beta(0.5,0.5)",0.5,0.125,35,75,0.0075,Hedged-CS,0.4090663194656372,0.6106753945350647,0.2016090750694275,1.2598174388149685
"Beta(0.5,0.5)",0.5,0.125,35,125,0.0125,Hedged-CS,0.42710816860198975,0.6106753945350647,0.18356722593307495,1.4808704197783222
"Beta(0.5,0.5)",0.5,0.125,35,200,0.02,Hedged-CS,0.4379528760910034,0.5961894392967224,0.158236563205719,1.6146884785013278
"Beta(0.5,0.5)",0.5,0.125,35,350,0.035,Hedged-CS,0.4505331516265869,0.5757764577865601,0.12524330615997314,1.69065678802549
"Beta(0.5,0.5)",0.5,0.125,35,500,0.05,Hedged-CS,0.4505331516265869,0.5587899684906006,0.10825681686401367,1.7466551234121102
"Beta(0.5,0.5)",0.5,0.125,35,1000,0.1,Hedged-CS,0.45756494998931885,0.5371546745300293,0.07958972454071045,1.8160337208979445
"Beta(0.5,0.5)",0.5,0.125,35,2000,0.2,Hedged-CS,0.4630853533744812,0.5243996977806091,0.06131434440612793,1.9785361679374878
"Beta(0.5,0.5)",0.5,0.125,35,5000,0.5,Hedged-CS,0.4736958146095276,0.5162146687507629,0.04251885414123535,2.169369155587483
"Beta(0.5,0.5)",0.5,0.125,35,10000,1.0,Hedged-CS,0.48133766651153564,0.5135112404823303,0.03217357397079468,2.321486773145447
"Beta(0.5,0.5)",0.5,0.125,36,10,0.001,Stitched GE,0.043254971504211426,0.8847218155860901,0.8414668440818787,1.9200118767701215
"Beta(0.5,0.5)",0.5,0.125,36,20,0.002,Stitched GE,0.1929200291633606,0.7232721447944641,0.5303521156311035,1.7113790462602267
"Beta(0.5,0.5)",0.5,0.125,36,40,0.004,Stitched GE,0.3333158493041992,0.6770502328872681,0.34373438358306885,1.5686276971586306
"Beta(0.5,0.5)",0.5,0.125,36,75,0.0075,Stitched GE,0.4112361669540405,0.6731234192848206,0.26188725233078003,1.636484505352925
"Beta(0.5,0.5)",0.5,0.125,36,125,0.0125,Stitched GE,0.4325006604194641,0.632473886013031,0.1999732255935669,1.6132206227114605
"Beta(0.5,0.5)",0.5,0.125,36,200,0.02,Stitched GE,0.4507155418395996,0.5924467444419861,0.14173120260238647,1.4462633366770423
"Beta(0.5,0.5)",0.5,0.125,36,350,0.035,Stitched GE,0.4524141550064087,0.5598898530006409,0.10747569799423218,1.450812214503785
"Beta(0.5,0.5)",0.5,0.125,36,500,0.05,Stitched GE,0.4566546678543091,0.5562860369682312,0.09963136911392212,1.6074889910534842
"Beta(0.5,0.5)",0.5,0.125,36,1000,0.1,Stitched GE,0.4763008952140808,0.545793354511261,0.06949245929718018,1.5856399825489402
"Beta(0.5,0.5)",0.5,0.125,36,2000,0.2,Stitched GE,0.48158758878707886,0.5294198989868164,0.04783231019973755,1.5434880148001313
"Beta(0.5,0.5)",0.5,0.125,36,5000,0.5,Stitched GE,0.48321396112442017,0.5158823728561401,0.03266841173171997,1.6667863281878768
"Beta(0.5,0.5)",0.5,0.125,36,10000,1.0,Stitched GE,0.4908273220062256,0.5130936503410339,0.02226632833480835,1.606628681124869
"Beta(0.5,0.5)",0.5,0.125,36,10,0.001,aGRAPA,0.11370195826155076,0.8196563077944503,0.7059543495328996,1.6108070628018734
"Beta(0.5,0.5)",0.5,0.125,36,20,0.002,aGRAPA,0.24340725687089806,0.689169451322416,0.445762194451518,1.438418093781928
"Beta(0.5,0.5)",0.5,0.125,36,40,0.004,aGRAPA,0.33649908838050974,0.6494646805872106,0.3129655922067009,1.428214690295724
"Beta(0.5,0.5)",0.5,0.125,36,75,0.0075,aGRAPA,0.41455634025930377,0.6555505338021931,0.2409941935428893,1.5059276849215686
"Beta(0.5,0.5)",0.5,0.125,36,125,0.0125,aGRAPA,0.42608665856791117,0.6207715502768503,0.1946848917089391,1.570558665056166
"Beta(0.5,0.5)",0.5,0.125,36,200,0.02,aGRAPA,0.43807711071260563,0.5924141198538201,0.15433700914121445,1.574896379307019
"Beta(0.5,0.5)",0.5,0.125,36,350,0.035,aGRAPA,0.4447987707262997,0.5700267721818195,0.12522800145551982,1.6904501901380173
"Beta(0.5,0.5)",0.5,0.125,36,500,0.05,aGRAPA,0.45353373351007187,0.560008452457791,0.1064747189477191,1.7179021030842727
"Beta(0.5,0.5)",0.5,0.125,36,1000,0.1,aGRAPA,0.4689749066017518,0.5482331365183266,0.07925822991657483,1.8084698623822797
"Beta(0.5,0.5)",0.5,0.125,36,2000,0.2,aGRAPA,0.47576248099562296,0.5337312011186089,0.057968720122985984,1.8705771134512963
"Beta(0.5,0.5)",0.5,0.125,36,5000,0.5,aGRAPA,0.48057639783457645,0.5189066432868246,0.03833024545224811,1.9556607036962006
"Beta(0.5,0.5)",0.5,0.125,36,10000,1.0,aGRAPA,0.48814900318515014,0.5158846904006339,0.02773568721548375,2.001270703506317
"Beta(0.5,0.5)",0.5,0.125,36,10,0.001,PRECiSE-A-CO96,0.09049287539502451,0.8710545187988012,0.7805616434037768,1.7810418038772142
"Beta(0.5,0.5)",0.5,0.125,36,20,0.002,PRECiSE-A-CO96,0.15170963937489867,0.7798522468098341,0.6281426074349354,2.026936566752836
"Beta(0.5,0.5)",0.5,0.125,36,40,0.004,PRECiSE-A-CO96,0.24746614962128596,0.7344084110472302,0.4869422614259442,2.2221551135724624
"Beta(0.5,0.5)",0.5,0.125,36,75,0.0075,PRECiSE-A-CO96,0.3667903104969401,0.7108711815078803,0.3440808710109402,2.150097070347406
"Beta(0.5,0.5)",0.5,0.125,36,125,0.0125,PRECiSE-A-CO96,0.39591350266840525,0.6521713263820588,0.2562578237136535,2.0672787805415225
"Beta(0.5,0.5)",0.5,0.125,36,200,0.02,PRECiSE-A-CO96,0.4182951512891212,0.610888528685056,0.19259337739593485,1.9652746572394886
"Beta(0.5,0.5)",0.5,0.125,36,350,0.035,PRECiSE-A-CO96,0.43218990748973574,0.5809195063781962,0.1487295988884605,2.00769776565868
"Beta(0.5,0.5)",0.5,0.125,36,500,0.05,PRECiSE-A-CO96,0.44447328270601966,0.5677767059036978,0.12330342319767812,1.9894225795776943
"Beta(0.5,0.5)",0.5,0.125,36,1000,0.1,PRECiSE-A-CO96,0.46416863171418,0.5524579880263449,0.08828935631216495,2.014537042118454
"Beta(0.5,0.5)",0.5,0.125,36,2000,0.2,PRECiSE-A-CO96,0.47305067754365016,0.5360084323190166,0.06295775477536647,2.0315669372590137
