distribution,true_mean,true_variance,replication,n,sampling_fraction,method,lower,upper,width,normalized_width
"Uniform(0,1)",0.5,0.08333333333333333,0,200,0.02,Hedged-CS,0.4239072799682617,0.5397922992706299,0.11588501930236816,1.4482876642756006
"Uniform(0,1)",0.5,0.08333333333333333,0,350,0.035,Hedged-CS,0.4390451908111572,0.531646728515625,0.09260153770446777,1.5309632188913063
"Uniform(0,1)",0.5,0.08333333333333333,0,500,0.05,Hedged-CS,0.452121376991272,0.531646728515625,0.07952535152435303,1.5714592945818264
"Uniform(0,1)",0.5,0.08333333333333333,0,1000,0.1,Hedged-CS,0.4645429253578186,0.5244860053062439,0.05994307994842529,1.6751418553128612
"Uniform(0,1)",0.5,0.08333333333333333,0,2000,0.2,Hedged-CS,0.4718989133834839,0.518231987953186,0.04633307456970215,1.831127792168628
"Uniform(0,1)",0.5,0.08333333333333333,0,5000,0.5,Hedged-CS,0.4826194643974304,0.5151879191398621,0.03256845474243164,2.035141881665891
"Uniform(0,1)",0.5,0.08333333333333333,0,10000,1.0,Hedged-CS,0.48660171031951904,0.5112284421920776,0.024626731872558594,2.1763027874033685
"Uniform(0,1)",0.5,0.08333333333333333,1,10,0.001,Stitched GE,0.11204755306243896,0.8535751700401306,0.7415276169776917,2.0722391127357596
"Uniform(0,1)",0.5,0.08333333333333333,1,20,0.002,Stitched GE,0.3273043632507324,0.7627853751182556,0.4354810118675232,1.7210629581525398
"Uniform(0,1)",0.5,0.08333333333333333,1,40,0.004,Stitched GE,0.408277690410614,0.6961467266082764,0.28786903619766235,1.6089312454354303
"Uniform(0,1)",0.5,0.08333333333333333,1,75,0.0075,Stitched GE,0.40412235260009766,0.5923931002616882,0.18827074766159058,1.44087403503314
"Uniform(0,1)",0.5,0.08333333333333333,1,125,0.0125,Stitched GE,0.40484797954559326,0.5558624863624573,0.151014506816864,1.4920597382168075
"Uniform(0,1)",0.5,0.08333333333333333,1,200,0.02,Stitched GE,0.4169021248817444,0.5457518100738525,0.12884968519210815,1.6103152135878471
"Uniform(0,1)",0.5,0.08333333333333333,1,350,0.035,Stitched GE,0.4403347969055176,0.5415785908699036,0.10124379396438599,1.6738439613730758
"Uniform(0,1)",0.5,0.08333333333333333,1,500,0.05,Stitched GE,0.4556964635848999,0.5367940068244934,0.0810975432395935,1.6025265610122377
"Uniform(0,1)",0.5,0.08333333333333333,1,1000,0.1,Stitched GE,0.4751052260398865,0.5312900543212891,0.05618482828140259,1.5701154756932993
"Uniform(0,1)",0.5,0.08333333333333333,1,2000,0.2,Stitched GE,0.49069827795028687,0.5293956398963928,0.03869736194610596,1.5293570651462771
"Uniform(0,1)",0.5,0.08333333333333333,1,5000,0.5,Stitched GE,0.49518048763275146,0.5216138362884521,0.026433348655700684,1.6517705659460074
"Uniform(0,1)",0.5,0.08333333333333333,1,10000,1.0,Stitched GE,0.495100200176239,0.510272204875946,0.015172004699707031,1.3407737693064397
"Uniform(0,1)",0.5,0.08333333333333333,1,10,0.001,aGRAPA,0.16362080190181597,0.7892567819879627,0.6256359800861467,1.7483736526947011
"Uniform(0,1)",0.5,0.08333333333333333,1,20,0.002,aGRAPA,0.35207781256137605,0.7268507260128577,0.37477291345148167,1.481138698319341
"Uniform(0,1)",0.5,0.08333333333333333,1,40,0.004,aGRAPA,0.40709207357981475,0.6701838368172839,0.26309176323746913,1.470448381252134
"Uniform(0,1)",0.5,0.08333333333333333,1,75,0.0075,aGRAPA,0.38631482344463963,0.5888233502550339,0.20250852681039422,1.5498386328097529
"Uniform(0,1)",0.5,0.08333333333333333,1,125,0.0125,aGRAPA,0.3946458158318144,0.5555279095752123,0.16088209374339785,1.5895538762090624
"Uniform(0,1)",0.5,0.08333333333333333,1,200,0.02,aGRAPA,0.42080985619929323,0.5514128088262543,0.1306029526269611,1.6322268947814984
"Uniform(0,1)",0.5,0.08333333333333333,1,350,0.035,aGRAPA,0.439929244549073,0.544454370595605,0.10452512604653197,1.7280935867169447
"Uniform(0,1)",0.5,0.08333333333333333,1,500,0.05,aGRAPA,0.45391917684152916,0.5426545736918431,0.08873539685031395,1.7534542314614083
"Uniform(0,1)",0.5,0.08333333333333333,1,1000,0.1,aGRAPA,0.4735265367382067,0.5372561244881648,0.06372958774995813,1.7809578679247218
"Uniform(0,1)",0.5,0.08333333333333333,1,2000,0.2,aGRAPA,0.4854304197869364,0.5318712843052722,0.04644086451833579,1.8353877548948778
