distribution,replication,n,component_count,topology_uncertain
"Uniform(0,1)",13,1000,1,0
"Uniform(0,1)",13,2000,1,0
"Uniform(0,1)",13,5000,1,0
"Uniform(0,1)",13,10000,1,0
"Uniform(0,1)",14,10,1,0
"Uniform(0,1)",14,20,1,0
"Uniform(0,1)",14,40,1,0
"Uniform(0,1)",14,75,1,0
"Uniform(0,1)",14,125,1,0
"Uniform(0,1)",14,200,1,0
"Uniform(0,1)",14,350,1,0
"Uniform(0,1)",14,500,1,0
"Uniform(0,1)",14,1000,1,0
"Uniform(0,1)",14,2000,1,0
"Uniform(0,1)",14,5000,1,0
"Uniform(0,1)",14,10000,1,0
"Uniform(0,1)",15,10,1,0
"Uniform(0,1)",15,20,1,0
"Uniform(0,1)",15,40,1,0
"Uniform(0,1)",15,75,1,0
"Uniform(0,1)",15,125,1,0
"Uniform(0,1)",15,200,1,0
"Uniform(0,1)",15,350,1,0
"Uniform(0,1)",15,500,1,0
"Uniform(0,1)",15,1000,1,0
"Uniform(0,1)",15,2000,1,0
"Uniform(0,1)",15,5000,1,0
"Uniform(0,1)",15,10000,1,0
"Uniform(0,1)",16,10,1,0
"Uniform(0,1)",16,20,1,0
"Uniform(0,1)",16,40,1,0
"Uniform(0,1)",16,75,1,0
"Uniform(0,1)",16,125,1,0
"Uniform(0,1)",16,200,1,0
"Uniform(0,1)",16,350,1,0
"Uniform(0,1)",16,500,1,0
"Uniform(0,1)",16,1000,1,0
"Uniform(0,1)",16,2000,1,0
"Uniform(0,1)",16,5000,1,0
"Uniform(0,1)",16,10000,1,0
"Uniform(0,1)",17,10,1,0
"Uniform(0,1)",17,20,1,0
"Uniform(0,1)",17,40,1,0
"Uniform(0,1)",17,75,1,0
"Uniform(0,1)",17,125,1,0
"Uniform(0,1)",17,200,1,0
"Uniform(0,1)",17,350,1,0
"Uniform(0,1)",17,500,1,0
"Uniform(0,1)",17,1000,1,0
"Uniform(0,1)",17,2000,1,0
"Uniform(0,1)",17,5000,1,0
"Uniform(0,1)",17,10000,1,0
"Uniform(0,1)",18,10,1,0
"Uniform(0,1)",18,20,1,0
"Uniform(0,1)",18,40,1,0
"Uniform(0,1)",18,75,1,0
"Uniform(0,1)",18,125,1,0
"Uniform(0,1)",18,200,1,0
"Uniform(0,1)",18,350,1,0
"Uniform(0,1)",18,500,1,0
"Uniform(0,1)",18,1000,1,0
"Uniform(0,1)",18,2000,1,0
"Uniform(0,1)",18,5000,1,0
"Uniform(0,1)",18,10000,1,0
"Uniform(0,1)",19,10,1,0
"Uniform(0,1)",19,20,1,0
"Uniform(0,1)",19,40,1,0
"Uniform(0,1)",19,75,1,0
"Uniform(0,1)",19,125,1,0
"Uniform(0,1)",19,200,1,0
"Uniform(0,1)",19,350,1,0
"Uniform(0,1)",19,500,1,0
"Uniform(0,1)",19,1000,1,0
"Uniform(0,1)",19,2000,1,0
"Uniform(0,1)",19,5000,1,0
"Uniform(0,1)",19,10000,1,0
"Uniform(0,1)",20,10,1,0
"Uniform(0,1)",20,20,1,0
"Uniform(0,1)",20,40,1,0
"Uniform(0,1)",20,75,1,0
"Uniform(0,1)",20,125,1,0
"Uniform(0,1)",20,200,1,0
"Uniform(0,1)",20,350,1,0
"Uniform(0,1)",20,500,1,0
"Uniform(0,1)",20,1000,1,0
"Uniform(0,1)",20,2000,1,0
"Uniform(0,1)",20,5000,1,0
"Uniform(0,1)",20,10000,1,0
"Uniform(0,1)",21,10,1,0
"Uniform(0,1)",21,20,1,0
"Uniform(0,1)",21,40,1,0
"Uniform(0,1)",21,75,1,0
"Uniform(0,1)",21,125,1,0
"Uniform(0,1)",21,200,1,0
"Uniform(0,1)",21,350,1,0
"Uniform(0,1)",21,500,1,0
"Uniform(0,1)",21,1000,1,0
"Uniform(0,1)",21,2000,1,0
"Uniform(0,1)",21,5000,1,0
"Uniform(0,1)",21,10000,1,0
"Uniform(0,1)",22,10,1,0
"Uniform(0,1)",22,20,1,0
"Uniform(0,1)",22,40,1,0
"Uniform(0,1)",22,75,1,0
"Uniform(0,1)",22,125,1,0
"Uniform(0,1)",22,200,1,0
"Uniform(0,1)",22,350,1,0
"Uniform(0,1)",22,500,1,0
"Uniform(0,1)",22,1000,1,0
"Uniform(0,1)",22,2000,1,0
"Uniform(0,1)",22,5000,1,0
"Uniform(0,1)",22,10000,1,0
"Uniform(0,1)",23,10,1,0
"Uniform(0,1)",23,20,1,0
"Uniform(0,1)",23,40,1,0
"Uniform(0,1)",23,75,1,0
"Uniform(0,1)",23,125,1,0
"Uniform(0,1)",23,200,1,0
"Uniform(0,1)",23,350,1,0
"Uniform(0,1)",23,500,1,0
"Uniform(0,1)",23,1000,1,0
"Uniform(0,1)",23,2000,1,0
"Uniform(0,1)",23,5000,1,0
"Uniform(0,1)",23,10000,1,0
"Uniform(0,1)",24,10,1,0
"Uniform(0,1)",24,20,1,0
"Uniform(0,1)",24,40,1,0
"Uniform(0,1)",24,75,1,0
"Uniform(0,1)",24,125,1,0
"Uniform(0,1)",24,200,1,0
"Uniform(0,1)",24,350,1,0
"Uniform(0,1)",24,500,1,0
"Uniform(0,1)",24,1000,1,0
"Uniform(0,1)",24,2000,1,0
"Uniform(0,1)",24,5000,1,0
"Uniform(0,1)",24,10000,1,0
"Uniform(0,1)",25,10,1,0
