distribution,replication,method,simultaneously_covered
"Uniform(0,1)",29,aGRAPA,1
"Uniform(0,1)",29,PRECiSE-A-CO96,1
"Uniform(0,1)",29,Hedged-CS,1
"Uniform(0,1)",30,Stitched GE,1
"Uniform(0,1)",30,aGRAPA,1
"Uniform(0,1)",30,PRECiSE-A-CO96,1
"Uniform(0,1)",30,Hedged-CS,1
"Uniform(0,1)",31,Stitched GE,1
"Uniform(0,1)",31,aGRAPA,1
"Uniform(0,1)",31,PRECiSE-A-CO96,1
"Uniform(0,1)",31,Hedged-CS,1
"Uniform(0,1)",32,Stitched GE,1
"Uniform(0,1)",32,aGRAPA,1
"Uniform(0,1)",32,PRECiSE-A-CO96,1
"Uniform(0,1)",32,Hedged-CS,1
"Uniform(0,1)",33,Stitched GE,1
"Uniform(0,1)",33,aGRAPA,1
"Uniform(0,1)",33,PRECiSE-A-CO96,1
"Uniform(0,1)",33,Hedged-CS,1
"Uniform(0,1)",34,Stitched GE,1
"Uniform(0,1)",34,aGRAPA,1
"Uniform(0,1)",34,PRECiSE-A-CO96,1
"Uniform(0,1)",34,Hedged-CS,1
"Uniform(0,1)",35,Stitched GE,1
"Uniform(0,1)",35,aGRAPA,1
"Uniform(0,1)",35,PRECiSE-A-CO96,1
"Uniform(0,1)",35,Hedged-CS,1
"Uniform(0,1)",36,Stitched GE,1
"Uniform(0,1)",36,aGRAPA,1
"Uniform(0,1)",36,PRECiSE-A-CO96,1
"Uniform(0,1)",36,Hedged-CS,1
"Uniform(0,1)",37,Stitched GE,1
"Uniform(0,1)",37,aGRAPA,1
"Uniform(0,1)",37,PRECiSE-A-CO96,1
"Uniform(0,1)",37,Hedged-CS,1
"Uniform(0,1)",38,Stitched GE,1
"Uniform(0,1)",38,aGRAPA,1
"Uniform(0,1)",38,PRECiSE-A-CO96,1
"Uniform(0,1)",38,Hedged-CS,1
"Uniform(0,1)",39,Stitched GE,1
"Uniform(0,1)",39,aGRAPA,1
"Uniform(0,1)",39,PRECiSE-A-CO96,1
"Uniform(0,1)",39,Hedged-CS,1
"Beta(0.5,0.5)",0,Stitched GE,1
"Beta(0.5,0.5)",0,aGRAPA,1
"Beta(0.5,0.5)",0,PRECiSE-A-CO96,1
"Beta(0.5,0.5)",0,Hedged-CS,1
"Beta(0.5,0.5)",1,Stitched GE,1
"Beta(0.5,0.5)",1,aGRAPA,1
"Beta(0.5,0.5)",1,PRECiSE-A-CO96,1
"Beta(0.5,0.5)",1,Hedged-CS,1
"Beta(0.5,0.5)",2,Stitched GE,1
"Beta(0.5,0.5)",2,aGRAPA,1
"Beta(0.5,0.5)",2,PRECiSE-A-CO96,1
"Beta(0.5,0.5)",2,Hedged-CS,1
"Beta(0.5,0.5)",3,Stitched GE,1
"Beta(0.5,0.5)",3,aGRAPA,1
"Beta(0.5,0.5)",3,PRECiSE-A-CO96,1
"Beta(0.5,0.5)",3,Hedged-CS,1
"Beta(0.5,0.5)",4,Stitched GE,1
"Beta(0.5,0.5)",4,aGRAPA,1
"Beta(0.5,0.5)",4,PRECiSE-A-CO96,1
"Beta(0.5,0.5)",4,Hedged-CS,1
"Beta(0.5,0.5)",5,Stitched GE,1
"Beta(0.5,0.5)",5,aGRAPA,1
"Beta(0.5,0.5)",5,PRECiSE-A-CO96,1
"Beta(0.5,0.5)",5,Hedged-CS,1
"Beta(0.5,0.5)",6,Stitched GE,1
"Beta(0.5,0.5)",6,aGRAPA,1
"Beta(0.5,0.5)",6,PRECiSE-A-CO96,1
"Beta(0.5,0.5)",6,Hedged-CS,1
"Beta(0.5,0.5)",7,Stitched GE,1
"Beta(0.5,0.5)",7,aGRAPA,1
"Beta(0.5,0.5)",7,PRECiSE-A-CO96,1
"Beta(0.5,0.5)",7,Hedged-CS,1
"Beta(0.5,0.5)",8,Stitched GE,1
"Beta(0.5,0.5)",8,aGRAPA,1
"Beta(0.5,0.5)",8,PRECiSE-A-CO96,1
"Beta(0.5,0.5)",8,Hedged-CS,1
"Beta(0.5,0.5)",9,Stitched GE,1
"Beta(0.5,0.5)",9,aGRAPA,1
"Beta(0.5,0.5)",9,PRECiSE-A-CO96,1
"Beta(0.5,0.5)",9,Hedged-CS,1
"Beta(0.5,0.5)",10,Stitched GE,1
"Beta(0.5,0.5)",10,aGRAPA,1
"Beta(0.5,0.5)",10,PRECiSE-A-CO96,1
"Beta(0.5,0.5)",10,Hedged-CS,1
"Beta(0.5,0.5)",11,Stitched GE,1
"Beta(0.5,0.5)",11,aGRAPA,1
"Beta(0.5,0.5)",11,PRECiSE-A-CO96,1
"Beta(0.5,0.5)",11,Hedged-CS,1
"Beta(0.5,0.5)",12,Stitched GE,1
"Beta(0.5,0.5)",12,aGRAPA,1
"Beta(0.5,0.5)",12,PRECiSE-A-CO96,1
"Beta(0.5,0.5)",12,Hedged-CS,1
"Beta(0.5,0.5)",13,Stitched GE,1
"Beta(0.5,0.5)",13,aGRAPA,1
"Beta(0.5,0.5)",13,PRECiSE-A-CO96,1
"Beta(0.5,0.5)",13,Hedged-CS,1
"Beta(0.5,0.5)",14,Stitched GE,1
"Beta(0.5,0.5)",14,aGRAPA,1
"Beta(0.5,0.5)",14,PRECiSE-A-CO96,1
"Beta(0.5,0.5)",14,Hedged-CS,1
"Beta(0.5,0.5)",15,Stitched GE,1
"Beta(0.5,0.5)",15,aGRAPA,1
"Beta(0.5,0.5)",15,PRECiSE-A-CO96,1
"Beta(0.5,0.5)",15,Hedged-CS,1
"Beta(0.5,0.5)",16,Stitched GE,1
"Beta(0.5,0.5)",16,aGRAPA,1
"Beta(0.5,0.5)",16,PRECiSE-A-CO96,1
"Beta(0.5,0.5)",16,Hedged-CS,1
"Beta(0.5,0.5)",17,Stitched GE,1
"Beta(0.5,0.5)",17,aGRAPA,1
"Beta(0.5,0.5)",17,PRECiSE-A-CO96,1
"Beta(0.5,0.5)",17,Hedged-CS,1
"Beta(0.5,0.5)",18,Stitched GE,1
"Beta(0.5,0.5)",18,aGRAPA,1
"Beta(0.5,0.5)",18,PRECiSE-A-CO96,1
"Beta(0.5,0.5)",18,Hedged-CS,1
"Beta(0.5,0.5)",19,Stitched GE,1
"Beta(0.5,0.5)",19,aGRAPA,1
"Beta(0.5,0.5)",19,PRECiSE-A-CO96,1
"Beta(0.5,0.5)",19,Hedged-CS,1
"Beta(0.5,0.5)",20,Stitched GE,1
"Beta(0.5,0.5)",20,aGRAPA,1
"Beta(0.5,0.5)",20,PRECiSE-A-CO96,1
"Beta(0.5,0.5)",20,Hedged-CS,1
"Beta(0.5,0.5)",21,Stitched GE,1
"Beta(0.5,0.5)",21,aGRAPA,1
"Beta(0.5,0.5)",21,PRECiSE-A-CO96,1
"Beta(0.5,0.5)",21,Hedged-CS,1
"Beta(0.5,0.5)",22,Stitched GE,1
"Beta(0.5,0.5)",22,aGRAPA,1
"Beta(0.5,0.5)",22,PRECiSE-A-CO96,1
"Beta(0.5,0.5)",22,Hedged-CS,1
"Beta(0.5,0.5)",23,Stitched GE,1
"Beta(0.5,0.5)",23,aGRAPA,1
"Beta(0.5,0.5)",23,PRECiSE-A-CO96,1
"Beta(0.5,0.5)",23,Hedged-CS,1
"Beta(0.5,0.5)",24,Stitched GE,1
"Beta(0.5,0.5)",24,aGRAPA,1
"Beta(0.5,0.5)",24,PRECiSE-A-CO96,1
"Beta(0.5,0.5)",24,Hedged-CS,1
"Beta(0.5,0.5)",25,Stitched GE,1
"Beta(0.5,0.5)",25,aGRAPA,1
"Beta(0.5,0.5)",25,PRECiSE-A-CO96,1
"Beta(0.5,0.5)",25,Hedged-CS,1
"Beta(0.5,0.5)",26,Stitched GE,1
"Beta(0.5,0.5)",26,aGRAPA,1
"Beta(0.5,0.5)",26,PRECiSE-A-CO96,1
"Beta(0.5,0.5)",26,Hedged-CS,1
"Beta(0.5,0.5)",27,Stitched GE,1
"Beta(0.5,0.5)",27,aGRAPA,1
"Beta(0.5,0.5)",27,PRECiSE-A-CO96,1
"Beta(0.5,0.5)",27,Hedged-CS,1
"Beta(0.5,0.5)",28,Stitched GE,1
"Beta(0.5,0.5)",28,aGRAPA,1
"Beta(0.5,0.5)",28,PRECiSE-A-CO96,1
"Beta(0.5,0.5)",28,Hedged-CS,1
"Beta(0.5,0.5)",29,Stitched GE,1
"Beta(0.5,0.5)",29,aGRAPA,1
"Beta(0.5,0.5)",29,PRECiSE-A-CO96,1
"Beta(0.5,0.5)",29,Hedged-CS,1
"Beta(0.5,0.5)",30,Stitched GE,1
"Beta(0.5,0.5)",30,aGRAPA,1
"Beta(0.5,0.5)",30,PRECiSE-A-CO96,1
"Beta(0.5,0.5)",30,Hedged-CS,1
"Beta(0.5,0.5)",31,Stitched GE,1
"Beta(0.5,0.5)",31,aGRAPA,1
"Beta(0.5,0.5)",31,PRECiSE-A-CO96,1
"Beta(0.5,0.5)",31,Hedged-CS,1
"Beta(0.5,0.5)",32,Stitched GE,1
"Beta(0.5,0.5)",32,aGRAPA,1
"Beta(0.5,0.5)",32,PRECiSE-A-CO96,1
"Beta(0.5,0.5)",32,Hedged-CS,1
"Beta(0.5,0.5)",33,Stitched GE,1
"Beta(0.5,0.5)",33,aGRAPA,1
"Beta(0.5,0.5)",33,PRECiSE-A-CO96,1
"Beta(0.5,0.5)",33,Hedged-CS,1
"Beta(0.5,0.5)",34,Stitched GE,1
"Beta(0.5,0.5)",34,aGRAPA,1
"Beta(0.5,0.5)",34,PRECiSE-A-CO96,1
