method,calibration,rejections,replications,noncoverage,wilson_lower,wilson_upper
Efficient betting,Deterministic,29,7560,0.003835978835978836,0.002672265648419352,0.0055036670647890555
Efficient betting,Uniformly randomized,70,7560,0.009259259259259259,0.007335685868422214,0.011681299033204869
Gaffke,Deterministic,33,6120,0.005392156862745098,0.003842179725253271,0.007562664650672807
Gaffke,Uniformly randomized,33,6120,0.005392156862745098,0.003842179725253271,0.007562664650672807
Product betting,Deterministic,3,7560,0.0003968253968253968,0.00013496541569191136,0.0011661537146168486
Product betting,Uniformly randomized,60,7560,0.007936507936507936,0.006171173951201262,0.010201651880079803
STaR betting,Deterministic,33,7560,0.004365079365079365,0.0031099523174396284,0.006123644023907187
STaR betting,Uniformly randomized,67,7560,0.008862433862433862,0.006985062334589913,0.011238674845933364
