method,calibration,figure3_cells,paired_intervals,weighted_mean_width_c1,weighted_mean_width_c05,weighted_relative_change,mean_cell_relative_change,median_cell_relative_change,cells_c05_narrower,cells_c05_wider
Efficient betting,Deterministic,81,5400,0.10585175919621252,0.11267257410678999,0.06443742609826675,0.043487875926736495,0.0052605201909625,0,81
Efficient betting,Uniformly randomized,81,5400,0.09393692169404254,0.09986833612185055,0.06314252501404005,0.03282958119601866,0.0010264834239266,23,58
STaR betting,Deterministic,81,5400,0.09990006707350838,0.10808471069037096,0.0819283095259602,0.04572302128602237,0.0020470726384056,1,80
STaR betting,Uniformly randomized,81,5400,0.09351232944444561,0.09895876390948462,0.05824295574066163,0.030602366062397947,0.0001550642559089,22,59
