distribution,n,rep,method,calibration,width_c1,width_c05,difference_c05_minus_c1,relative_change,c05_narrower,c05_wider
"Beta(1,5)",10,27,Efficient betting,Deterministic,0.5090913926251233,0.6485087855903058,0.13941739296518252,0.2738553332168483,False,True
"Beta(1,5)",10,27,Efficient betting,Uniformly randomized,0.5053041302599013,0.6448124965278057,0.13950836626790442,0.2760879199545605,False,True
"Beta(1,5)",10,28,STaR betting,Deterministic,0.5037399716019682,0.6472195858597807,0.14347961425781253,0.28482872582361485,False,True
"Beta(1,5)",10,28,STaR betting,Uniformly randomized,0.4788220605404979,0.6220453271420605,0.1432232666015626,0.2991158478368585,False,True
"Beta(1,5)",10,28,Efficient betting,Deterministic,0.5045981644652784,0.6472195858597807,0.1426214213945023,0.28264355964441124,False,True
"Beta(1,5)",10,28,Efficient betting,Uniformly randomized,0.4917349084280431,0.6343777889847808,0.14264288055673768,0.29008085070212375,False,True
"Beta(1,5)",10,29,STaR betting,Deterministic,0.5132988804464422,0.6517540806417548,0.13845520019531254,0.26973602606514735,False,True
"Beta(1,5)",10,29,STaR betting,Uniformly randomized,0.4694451206808173,0.6052501743917549,0.1358050537109376,0.2892884550892445,False,True
"Beta(1,5)",10,29,Efficient betting,Deterministic,0.5154074816964567,0.6517540806417548,0.1363465989452981,0.2645413653998874,False,True
"Beta(1,5)",10,29,Efficient betting,Uniformly randomized,0.469957725610584,0.6052501743917549,0.13529244878117086,0.28788216771071196,False,True
"Beta(1,5)",10,30,STaR betting,Deterministic,0.529013146343515,0.6633252801325777,0.1343121337890627,0.2538918639686263,False,True
"Beta(1,5)",10,30,STaR betting,Uniformly randomized,0.39657846027853716,0.5379500043576276,0.14137154407909047,0.35647812031898574,False,True
"Beta(1,5)",10,30,Efficient betting,Deterministic,0.5357358944602311,0.6633252801325777,0.12758938567234668,0.23815724686675432,False,True
"Beta(1,5)",10,30,Efficient betting,Uniformly randomized,0.39764500316232443,0.5386472784448131,0.14100227528248865,0.3545933537732133,False,True
"Beta(1,5)",10,31,STaR betting,Deterministic,0.5068959912604254,0.6491487988776128,0.1422528076171874,0.280635100829004,False,True
