method,calibration,paired_intervals,mean_width_c1,mean_width_c05,median_relative_change,fraction_c05_narrower,fraction_c05_wider,cells,cells_c05_better,cells_c05_worse,median_cell_relative_change,mean_cell_relative_change
Efficient betting,Deterministic,7560,0.15066274974684107,0.1730789956994127,0.031488916742818396,0.02261904761904762,0.9421957671957671,99,0,99,0.008694965987388503,0.1138258526901147
Efficient betting,Uniformly randomized,7560,0.1299228979563054,0.15096252740479774,0.025721143769511068,0.16124338624338624,0.8332010582010582,99,23,76,0.002832723364510681,0.10879740445643055
STaR betting,Deterministic,7560,0.14199190579078688,0.1670046148729319,0.04342811121022172,0.023148148148148147,0.9128306878306879,99,1,98,0.00697535336937305,0.12297604471558182
STaR betting,Uniformly randomized,7560,0.12785483379537924,0.14916956525438174,0.021891243502599078,0.16283068783068783,0.7824074074074074,99,22,77,0.0006416154853767786,0.11010824316164863
