distribution,n,repetition,method,lower,upper,empty,width,normalized_width
"Beta(1,5)",50,3,Optimistic hard-boundary benchmark (not valid),0.10809537288511012,0.3034009552792405,False,0.19530558239413037,1.903127356183803
"Beta(1,5)",50,4,Chronological GE,0.11983104469254613,0.254279397893697,False,0.1344483532011509,1.3101127772918297
"Beta(1,5)",50,4,Exact Bernoulli rounding,0.0508175831735053,0.30602849872323973,False,0.2552109155497344,2.486866320079189
"Beta(1,5)",50,4,Symmetric empirical-variance bound,0.0,0.9647569426085294,False,0.9647569426085294,9.400936250973846
"Beta(1,5)",50,4,Optimistic hard-boundary benchmark (not valid),0.10933308775363498,0.2772259924116668,False,0.1678929046580318,1.6360084327700308
"Beta(1,5)",50,5,Chronological GE,0.1451065349392593,0.2845062096603215,False,0.13939967472106218,1.358360222747787
"Beta(1,5)",50,5,Exact Bernoulli rounding,0.04437749330857011,0.2956169346544036,False,0.2512394413458335,2.448166856862774
"Beta(1,5)",50,5,Symmetric empirical-variance bound,0.0,1.0,False,1.0,9.74435719068826
"Beta(1,5)",50,5,Optimistic hard-boundary benchmark (not valid),0.1292393036975218,0.32320627435363114,False,0.19396697065610935,1.890083445268878
"Beta(1,5)",50,6,Chronological GE,0.1230065287090838,0.2549103652127087,False,0.13190383650362492,1.2853180977134662
"Beta(1,5)",50,6,Exact Bernoulli rounding,0.04609972374669575,0.29985279377123664,False,0.2537530700245409,2.4726605525528567
"Beta(1,5)",50,6,Symmetric empirical-variance bound,0.0,0.9746737987696117,False,0.9746737987696117,9.497569639616108
"Beta(1,5)",50,6,Optimistic hard-boundary benchmark (not valid),0.10873433581596692,0.2821738496502769,False,0.17343951383431,1.6900565737808346
"Beta(1,5)",50,7,Chronological GE,0.12990010203793645,0.21178445173427463,False,0.08188434969633818,0.797910351768345
"Beta(1,5)",50,7,Exact Bernoulli rounding,0.10381363498412945,0.3814716506902297,False,0.27765801570610027,2.705598881897972
"Beta(1,5)",50,7,Symmetric empirical-variance bound,0.0,0.9835562290757793,False,0.9835562290757793,9.584123213240801
"Beta(1,5)",50,7,Optimistic hard-boundary benchmark (not valid),0.10999675576486878,0.2873861431558682,False,0.1773893873909994,1.7285455525752706
