n,m,alpha,z,grid_intervals,correction,grid_price,rare_event_lower_bound,excess_over_rare_bound
12,0.2,0.005,2.575829303548901,6,0.1739501953125,0.00483156207699887,0.34160298836033265,-0.16765279304783265
12,0.5,0.005,2.575829303548901,6,0.7576904296875,0.004251528,0.8540074709008316,-0.09631704121333162
12,0.8,0.005,2.575829303548901,6,0.6156005859375,0.0,0.6154131098514191,0.0001874760860809399
12,0.2,0.005,2.575829303548901,12,0.2958984375,0.004112649967703317,0.34160298836033265,-0.04570455086033265
12,0.5,0.005,2.575829303548901,12,0.8302001953125,0.004607999999999999,0.8540074709008316,-0.023807275588331622
12,0.8,0.005,2.575829303548901,12,0.6156005859375,0.0,0.6154131098514191,0.0001874760860809399
12,0.2,0.005,2.575829303548901,24,0.3292236328125,0.004537610354496271,0.34160298836033265,-0.012379355547832649
12,0.5,0.005,2.575829303548901,24,0.848876953125,0.004765650812869656,0.8540074709008316,-0.005130517775831622
12,0.8,0.005,2.575829303548901,24,0.6156005859375,0.0,0.6154131098514191,0.0001874760860809399
20,0.2,0.005,2.575829303548901,6,0.364990234375,0.004378186714917993,0.5144657886060127,-0.14947555423101266
20,0.5,0.005,2.575829303548901,6,1.2542724609375,0.004998754388552404,1.2861644715150315,-0.03189201057753155
20,0.8,0.005,2.575829303548901,6,1.6961669921875,0.0,1.6961082315314866,5.87606560134013e-05
20,0.2,0.005,2.575829303548901,12,0.474853515625,0.004374143221324762,0.5144657886060127,-0.039612272981012664
20,0.5,0.005,2.575829303548901,12,1.2957763671875,0.004894526357101683,1.2861644715150315,0.009611895672468451
20,0.8,0.005,2.575829303548901,12,1.6961669921875,0.0,1.6961082315314866,5.87606560134013e-05
20,0.2,0.005,2.575829303548901,24,0.5133056640625,0.004841162140401965,0.5144657886060127,-0.001160124543512664
20,0.5,0.005,2.575829303548901,24,1.3140869140625,0.004954728292196639,1.2861644715150315,0.02792244254746845
20,0.8,0.005,2.575829303548901,24,1.6961669921875,0.0,1.6961082315314866,5.87606560134013e-05
30,0.2,0.005,2.575829303548901,8,0.5364990234375,0.004945730396528317,0.6139445723749691,-0.07744554893746913
30,0.5,0.005,2.575829303548901,8,1.5948486328125,0.004999933614482117,1.5348614309374227,0.059987201875077334
30,0.8,0.005,2.575829303548901,8,2.2906494140625,0.0048036783771349305,2.4557782894998765,-0.16512887543737653
30,0.2,0.005,2.575829303548901,12,0.611572265625,0.004998731418053657,0.6139445723749691,-0.002372306749969133
30,0.5,0.005,2.575829303548901,12,1.61773681640625,0.0049991767704204325,1.5348614309374227,0.08287538546882733
30,0.8,0.005,2.575829303548901,12,2.3748779296875,0.004981000484645254,2.4557782894998765,-0.08090035981237653
30,0.2,0.005,2.575829303548901,16,0.64178466796875,0.004641109150768457,0.6139445723749691,0.027840095593780867
30,0.5,0.005,2.575829303548901,16,1.6351318359375,0.0049647689812363106,1.5348614309374227,0.10027040500007733
30,0.8,0.005,2.575829303548901,16,2.41607666015625,0.00484363941856644,2.4557782894998765,-0.03970162934362653
