distribution,n,method,mean,standard_error,q10,q50,q90
"Beta(1,5)",50,Chronological GE,1.3255394577889834,0.014348800971938112,1.093956384176885,1.3424653240693547,1.562383522364971
"Beta(1,5)",50,Exact Bernoulli rounding,2.544699889046557,0.021635370040377105,2.167476583834621,2.548063913173632,2.9202590293175015
"Beta(1,5)",50,Symmetric empirical-variance bound,9.50917460195991,0.01579567026340433,9.193584657028287,9.53500733026111,9.74435719068826
"Beta(1,5)",50,Optimistic hard-boundary benchmark (not valid),1.758263651849345,0.007545520223505944,1.6252704857792855,1.7487919225786346,1.905363074039306
"Beta(1,5)",200,Chronological GE,1.085000925932845,0.008769522756674426,0.948223847504829,1.0934376882074859,1.225723794388811
"Beta(1,5)",200,Exact Bernoulli rounding,2.6266096154935767,0.0120248405705103,2.4147819253737515,2.6223114871037336,2.8441344851737553
"Beta(1,5)",200,Symmetric empirical-variance bound,6.2770288995530175,0.010896523812510571,6.077862078944915,6.287199361796179,6.4685501336921005
"Beta(1,5)",200,Optimistic hard-boundary benchmark (not valid),1.4253191262769718,0.004601608401095572,1.3439559900716758,1.4221688602339926,1.5149501274989414
"Beta(1,5)",1000,Chronological GE,1.0143826103112001,0.003413546601805265,0.9527859392464402,1.0112585790658102,1.077949356413281
"Beta(1,5)",1000,Exact Bernoulli rounding,2.632759117493444,0.0054247421434271996,2.546748893228456,2.6364445296207197,2.727473437801136
"Beta(1,5)",1000,Symmetric empirical-variance bound,3.2173420223053637,0.002768502886337188,3.166693295333554,3.214748861118659,3.2656453099787774
"Beta(1,5)",1000,Optimistic hard-boundary benchmark (not valid),1.2090329328118432,0.001882425626608409,1.174594040957938,1.2072708554762517,1.2418763957201304
"Beta(1,5)",5000,Chronological GE,1.004021939524944,0.0014663320656906054,0.9789423663507826,1.0026391899637384,1.0314344362065329
"Beta(1,5)",5000,Exact Bernoulli rounding,2.6475518971375935,0.002457182580916557,2.606951136810643,2.647783041309134,2.685941394244966
"Beta(1,5)",5000,Symmetric empirical-variance bound,2.1116418632460165,0.0012247527428374072,2.0879670522659883,2.112965478923883,2.1348043978386744
"Beta(1,5)",5000,Optimistic hard-boundary benchmark (not valid),1.0986530547627735,0.0008891036818999916,1.0814664361255064,1.0996139166934051,1.1154678060449428
Bernoulli(0.5),50,Chronological GE,0.9846126707224938,0.0038731665978295683,0.9135697608250553,0.9894067243263776,1.0510448581683414
Bernoulli(0.5),50,Exact Bernoulli rounding,0.9590598789942487,0.002027702298463951,0.9229180277024718,0.963100262207367,0.9935090861240278
Bernoulli(0.5),50,Symmetric empirical-variance bound,2.745161646434866,0.0,2.745161646434866,2.745161646434866,2.745161646434866
Bernoulli(0.5),50,Optimistic hard-boundary benchmark (not valid),1.190790084076874,0.0011960560162824858,1.1724704957934624,1.194147839693402,1.2012686994064716
Bernoulli(0.5),200,Chronological GE,0.9946133479194254,0.001232792339124838,0.9722794707030247,0.9937835104384081,1.01869213388067
Bernoulli(0.5),200,Exact Bernoulli rounding,0.9899479948096481,0.0007978805530114817,0.976101370631918,0.9896444425299833,1.0065036410101933
Bernoulli(0.5),200,Symmetric empirical-variance bound,3.014439694199416,0.0004050095039393928,3.006143090812462,3.016436447473785,3.0185049650220077
Bernoulli(0.5),200,Optimistic hard-boundary benchmark (not valid),1.1141045461960857,0.00023363293123368796,1.109318573877349,1.115256388533355,1.1164496354523084
Bernoulli(0.5),1000,Chronological GE,0.9989659983161939,0.00045226965940262174,0.9903805925500665,0.9990570690671485,1.0079124963109767
Bernoulli(0.5),1000,Exact Bernoulli rounding,0.9977698183803667,0.00034513301610694143,0.9913736157206282,0.997638275857722,1.004808504703041
Bernoulli(0.5),1000,Symmetric empirical-variance bound,1.961249303376406,6.758280748161202e-05,1.9602356217841808,1.9615724575274152,1.9619160185217466
Bernoulli(0.5),1000,Optimistic hard-boundary benchmark (not valid),1.0579897103013267,4.59625888187412e-05,1.0573003125954985,1.0582094851531727,1.058443138567971
Bernoulli(0.5),5000,Chronological GE,1.0001018381896716,0.00018504120129950893,0.9966037326647,0.9999048699675592,1.0037613484323848
