distribution,population_mean,population_variance,n,sampling_fraction,method,calibration,normalized_mean_width,normalized_standard_error,num_simulations
"Beta(0.5,0.5)",0.5,0.125,2000,0.5,Bridge-efficient betting,Deterministic Markov,1.021342468147232,0.0007547662588034067,200
"Beta(0.5,0.5)",0.5,0.125,2800,0.7,Bridge-efficient betting,Deterministic Markov,1.0233345223143622,0.000797450752618717,200
"Beta(0.5,0.5)",0.5,0.125,3200,0.8,Bridge-efficient betting,Deterministic Markov,1.02841828703136,0.0008375822751977686,200
"Beta(0.5,0.5)",0.5,0.125,3600,0.9,Bridge-efficient betting,Deterministic Markov,1.034413495497883,0.0010172657750864094,200
"Beta(0.5,0.5)",0.5,0.125,400,0.1,Bridge-efficient betting,Uniformly randomized Markov,1.0026078590198202,0.0016023307068023791,200
"Beta(0.5,0.5)",0.5,0.125,1200,0.3,Bridge-efficient betting,Uniformly randomized Markov,1.0021019212790816,0.0009167903969557839,200
"Beta(0.5,0.5)",0.5,0.125,2000,0.5,Bridge-efficient betting,Uniformly randomized Markov,1.0029659690501247,0.0007835985193567836,200
"Beta(0.5,0.5)",0.5,0.125,2800,0.7,Bridge-efficient betting,Uniformly randomized Markov,1.0028034524450589,0.0007835715964627478,200
"Beta(0.5,0.5)",0.5,0.125,3200,0.8,Bridge-efficient betting,Uniformly randomized Markov,1.0028523461991872,0.0009633113430547636,200
"Beta(0.5,0.5)",0.5,0.125,3600,0.9,Bridge-efficient betting,Uniformly randomized Markov,1.0039723877745588,0.0012307143888280103,200
"Beta(0.5,0.5)",0.5,0.125,400,0.1,WSR running intersection,Deterministic Markov,1.1654499729905685,0.004067395290992735,200
"Beta(0.5,0.5)",0.5,0.125,1200,0.3,WSR running intersection,Deterministic Markov,1.1736270255074033,0.004383787328352549,200
"Beta(0.5,0.5)",0.5,0.125,2000,0.5,WSR running intersection,Deterministic Markov,1.217640849646813,0.002892410213617054,200
"Beta(0.5,0.5)",0.5,0.125,2800,0.7,WSR running intersection,Deterministic Markov,1.2844967266396048,0.0036777914770006162,200
"Beta(0.5,0.5)",0.5,0.125,3200,0.8,WSR running intersection,Deterministic Markov,1.353749989418609,0.004038703349406984,200
"Beta(0.5,0.5)",0.5,0.125,3600,0.9,WSR running intersection,Deterministic Markov,1.526555329240781,0.004453552461521545,200
"Beta(0.5,0.5)",0.5,0.125,400,0.1,WSR running intersection,Uniformly randomized Markov,1.0955766488131686,0.0057781616873030005,200
"Beta(0.5,0.5)",0.5,0.125,1200,0.3,WSR running intersection,Uniformly randomized Markov,1.097666041358996,0.0063492073813276205,200
"Beta(0.5,0.5)",0.5,0.125,2000,0.5,WSR running intersection,Uniformly randomized Markov,1.1483846835472824,0.005538012612736302,200
"Beta(0.5,0.5)",0.5,0.125,2800,0.7,WSR running intersection,Uniformly randomized Markov,1.194747117443861,0.006643738717479368,200
"Beta(0.5,0.5)",0.5,0.125,3200,0.8,WSR running intersection,Uniformly randomized Markov,1.2528068761925801,0.006688208973933783,200
"Beta(0.5,0.5)",0.5,0.125,3600,0.9,WSR running intersection,Uniformly randomized Markov,1.398408239448363,0.007915080094006727,200
"Beta(0.5,0.5)",0.5,0.125,400,0.1,Bardenet--Maillard EBS,As published,3.222554603427668,0.0018754296048347787,200
"Beta(0.5,0.5)",0.5,0.125,1200,0.3,Bardenet--Maillard EBS,As published,2.609100913231479,0.0009383067216784506,200
"Beta(0.5,0.5)",0.5,0.125,2000,0.5,Bardenet--Maillard EBS,As published,2.5113383757636036,0.0005865308161383792,200
"Beta(0.5,0.5)",0.5,0.125,2800,0.7,Bardenet--Maillard EBS,As published,2.6086795623026795,0.0003449518833540482,200
"Beta(0.5,0.5)",0.5,0.125,3200,0.8,Bardenet--Maillard EBS,As published,2.7784013564893506,0.0002890164800385516,200
"Beta(0.5,0.5)",0.5,0.125,3600,0.9,Bardenet--Maillard EBS,As published,3.2235032026282107,0.0001837421553251815,200
"Beta(0.5,0.5)",0.5,0.125,400,0.1,Shekhar--Ramdas AS-CI,As published,3.3860570978909594,0.0038885380335556777,200
"Beta(0.5,0.5)",0.5,0.125,1200,0.3,Shekhar--Ramdas AS-CI,As published,3.3836052522751006,0.0019600568611989146,200
"Beta(0.5,0.5)",0.5,0.125,2000,0.5,Shekhar--Ramdas AS-CI,As published,3.3520652172205554,0.001359233489273331,200
"Beta(0.5,0.5)",0.5,0.125,2800,0.7,Shekhar--Ramdas AS-CI,As published,3.290422607363006,0.0008379358408273567,200
"Beta(0.5,0.5)",0.5,0.125,3200,0.8,Shekhar--Ramdas AS-CI,As published,3.233791829421698,0.0006053573547533883,200
"Beta(0.5,0.5)",0.5,0.125,3600,0.9,Shekhar--Ramdas AS-CI,As published,3.1225698520380947,0.00044147164895203775,200
Bernoulli(0.1),0.1,0.09000000000000004,400,0.1,Bridge-efficient betting,Deterministic Markov,1.0811596988159342,0.0073856965319577875,200
Bernoulli(0.1),0.1,0.09000000000000004,1200,0.3,Bridge-efficient betting,Deterministic Markov,1.0465780955911292,0.0037869592271313314,200
Bernoulli(0.1),0.1,0.09000000000000004,2000,0.5,Bridge-efficient betting,Deterministic Markov,1.0451803954983014,0.002756533556343469,200
Bernoulli(0.1),0.1,0.09000000000000004,2800,0.7,Bridge-efficient betting,Deterministic Markov,1.0445337269690542,0.0023394843143298527,200
Bernoulli(0.1),0.1,0.09000000000000004,3200,0.8,Bridge-efficient betting,Deterministic Markov,1.045798738255794,0.0023798387579410454,200
Bernoulli(0.1),0.1,0.09000000000000004,3600,0.9,Bridge-efficient betting,Deterministic Markov,1.0660223026374254,0.003012410969400696,200
Bernoulli(0.1),0.1,0.09000000000000004,400,0.1,Bridge-efficient betting,Uniformly randomized Markov,1.03509060297636,0.007564275677187714,200
Bernoulli(0.1),0.1,0.09000000000000004,1200,0.3,Bridge-efficient betting,Uniformly randomized Markov,1.012232957035473,0.004202125146251633,200
Bernoulli(0.1),0.1,0.09000000000000004,2000,0.5,Bridge-efficient betting,Uniformly randomized Markov,1.0135262259593407,0.0032676760476504254,200
Bernoulli(0.1),0.1,0.09000000000000004,2800,0.7,Bridge-efficient betting,Uniformly randomized Markov,1.0101583565864476,0.002776154166503569,200
Bernoulli(0.1),0.1,0.09000000000000004,3200,0.8,Bridge-efficient betting,Uniformly randomized Markov,1.0082354274377778,0.003081409981370161,200
Bernoulli(0.1),0.1,0.09000000000000004,3600,0.9,Bridge-efficient betting,Uniformly randomized Markov,1.0152083022529081,0.003796727692077556,200
Bernoulli(0.1),0.1,0.09000000000000004,400,0.1,WSR running intersection,Deterministic Markov,1.2187183216267545,0.00927660930761446,200
Bernoulli(0.1),0.1,0.09000000000000004,1200,0.3,WSR running intersection,Deterministic Markov,1.1972080014492457,0.005761586228989559,200
Bernoulli(0.1),0.1,0.09000000000000004,2000,0.5,WSR running intersection,Deterministic Markov,1.2275298989818186,0.0043682933872779516,200
Bernoulli(0.1),0.1,0.09000000000000004,2800,0.7,WSR running intersection,Deterministic Markov,1.2937609098612455,0.0033227818954794115,200
Bernoulli(0.1),0.1,0.09000000000000004,3200,0.8,WSR running intersection,Deterministic Markov,1.3699690471107784,0.0032708327229792602,200
Bernoulli(0.1),0.1,0.09000000000000004,3600,0.9,WSR running intersection,Deterministic Markov,1.544670181839991,0.003191900088331242,200
Bernoulli(0.1),0.1,0.09000000000000004,400,0.1,WSR running intersection,Uniformly randomized Markov,1.156515644529075,0.009801718923403055,200
Bernoulli(0.1),0.1,0.09000000000000004,1200,0.3,WSR running intersection,Uniformly randomized Markov,1.1298349386767137,0.007583465961787296,200
Bernoulli(0.1),0.1,0.09000000000000004,2000,0.5,WSR running intersection,Uniformly randomized Markov,1.1436546603925928,0.006496945010625801,200
Bernoulli(0.1),0.1,0.09000000000000004,2800,0.7,WSR running intersection,Uniformly randomized Markov,1.1972863110840126,0.007026196248797514,200
Bernoulli(0.1),0.1,0.09000000000000004,3200,0.8,WSR running intersection,Uniformly randomized Markov,1.260559942446933,0.006907082667421105,200
Bernoulli(0.1),0.1,0.09000000000000004,3600,0.9,WSR running intersection,Uniformly randomized Markov,1.4115958104484392,0.007879962921490383,200
Bernoulli(0.1),0.1,0.09000000000000004,400,0.1,Exact hypergeometric,As published,1.0254737358511465,0.0042880006457105425,200
Bernoulli(0.1),0.1,0.09000000000000004,1200,0.3,Exact hypergeometric,As published,1.01491403199904,0.0022025407548398965,200
Bernoulli(0.1),0.1,0.09000000000000004,2000,0.5,Exact hypergeometric,As published,1.0093795828869492,0.0014319186449695054,200
Bernoulli(0.1),0.1,0.09000000000000004,2800,0.7,Exact hypergeometric,As published,1.0037863963782754,0.0011254682119069418,200
Bernoulli(0.1),0.1,0.09000000000000004,3200,0.8,Exact hypergeometric,As published,1.0024747820919284,0.0008331204754431236,200
Bernoulli(0.1),0.1,0.09000000000000004,3600,0.9,Exact hypergeometric,As published,1.0005823552073674,0.0010634530776123057,200
Bernoulli(0.1),0.1,0.09000000000000004,400,0.1,Bardenet--Maillard EBS,As published,2.990737586022692,0.015040233135019511,200
Bernoulli(0.1),0.1,0.09000000000000004,1200,0.3,Bardenet--Maillard EBS,As published,2.816545174912333,0.003261232301255333,200
Bernoulli(0.1),0.1,0.09000000000000004,2000,0.5,Bardenet--Maillard EBS,As published,2.7017263828490106,0.0020819137572439255,200
Bernoulli(0.1),0.1,0.09000000000000004,2800,0.7,Bardenet--Maillard EBS,As published,2.81454051691522,0.001362788047726822,200
Bernoulli(0.1),0.1,0.09000000000000004,3200,0.8,Bardenet--Maillard EBS,As published,3.016876254443263,0.0009973918423069668,200
Bernoulli(0.1),0.1,0.09000000000000004,3600,0.9,Bardenet--Maillard EBS,As published,2.996786238670579,0.0017067412417853434,200
Bernoulli(0.1),0.1,0.09000000000000004,400,0.1,Shekhar--Ramdas AS-CI,As published,1.8620242278398529,0.008464744566263824,200
Bernoulli(0.1),0.1,0.09000000000000004,1200,0.3,Shekhar--Ramdas AS-CI,As published,1.8092608936266845,0.0044961746373434735,200
Bernoulli(0.1),0.1,0.09000000000000004,2000,0.5,Shekhar--Ramdas AS-CI,As published,1.7622743172876465,0.0028865004360287654,200
Bernoulli(0.1),0.1,0.09000000000000004,2800,0.7,Shekhar--Ramdas AS-CI,As published,1.695201991073413,0.0018798070424442177,200
Bernoulli(0.1),0.1,0.09000000000000004,3200,0.8,Shekhar--Ramdas AS-CI,As published,1.6452044558434904,0.0013673301548296215,200
Bernoulli(0.1),0.1,0.09000000000000004,3600,0.9,Shekhar--Ramdas AS-CI,As published,1.5427926419980083,0.0009600764701386384,200
Bernoulli(0.1),0.1,0.09000000000000004,400,0.1,Shekhar--Ramdas rate CI,As published,4.004951977631296,0.014590815885568832,200
