distribution,population_mean,population_variance,replication,n,sampling_fraction,method,width,calibration,normalized_width
"Uniform(0,1)",0.5,0.08333332812500001,1,400,0.1,WSR running intersection,0.08284599334001541,Uniformly randomized Markov,1.1742741978182216
"Uniform(0,1)",0.5,0.08333332812500001,1,400,0.1,Bardenet--Maillard EBS,0.25636117784937207,As published,3.6337100242770752
"Uniform(0,1)",0.5,0.08333332812500001,1,400,0.1,Shekhar--Ramdas AS-CI,0.2906905670437955,As published,4.120301038913385
"Uniform(0,1)",0.5,0.08333332812500001,1,1200,0.3,Bridge-efficient betting,0.03691473854705707,Deterministic Markov,1.0276155503788535
"Uniform(0,1)",0.5,0.08333332812500001,1,1200,0.3,Bridge-efficient betting,0.036403746064752274,Uniformly randomized Markov,1.0133907761664147
"Uniform(0,1)",0.5,0.08333332812500001,1,1200,0.3,WSR running intersection,0.04332753513008347,Deterministic Markov,1.2061320386301206
"Uniform(0,1)",0.5,0.08333332812500001,1,1200,0.3,WSR running intersection,0.04253867361694552,Uniformly randomized Markov,1.1841720738598818
"Uniform(0,1)",0.5,0.08333332812500001,1,1200,0.3,Bardenet--Maillard EBS,0.10353152785318903,As published,2.882063158616091
"Uniform(0,1)",0.5,0.08333332812500001,1,1200,0.3,Shekhar--Ramdas AS-CI,0.14743294417865688,As published,4.10417063859182
"Uniform(0,1)",0.5,0.08333332812500001,1,2000,0.5,Bridge-efficient betting,0.02487233839929104,Deterministic Markov,1.0576351629397482
"Uniform(0,1)",0.5,0.08333332812500001,1,2000,0.5,Bridge-efficient betting,0.023886118549853563,Uniformly randomized Markov,1.0156985836600152
"Uniform(0,1)",0.5,0.08333332812500001,1,2000,0.5,WSR running intersection,0.028036294970661402,Deterministic Markov,1.1921746529617625
"Uniform(0,1)",0.5,0.08333332812500001,1,2000,0.5,WSR running intersection,0.02708844281733036,Uniformly randomized Markov,1.1518695658188647
"Uniform(0,1)",0.5,0.08333332812500001,1,2000,0.5,Bardenet--Maillard EBS,0.06505808911996969,As published,2.7664356114143693
"Uniform(0,1)",0.5,0.08333332812500001,1,2000,0.5,Shekhar--Ramdas AS-CI,0.09662929679343363,As published,4.108923753698588
"Uniform(0,1)",0.5,0.08333332812500001,1,2800,0.7,Bridge-efficient betting,0.015985109657049135,Deterministic Markov,1.0383010086886741
"Uniform(0,1)",0.5,0.08333332812500001,1,2800,0.7,Bridge-efficient betting,0.01556852851063023,Uniformly randomized Markov,1.0112422875533649
"Uniform(0,1)",0.5,0.08333332812500001,1,2800,0.7,WSR running intersection,0.02031059497967358,Deterministic Markov,1.3192597177563032
"Uniform(0,1)",0.5,0.08333332812500001,1,2800,0.7,WSR running intersection,0.019889284484088166,Uniformly randomized Markov,1.291893805233798
"Uniform(0,1)",0.5,0.08333332812500001,1,2800,0.7,Bardenet--Maillard EBS,0.044203516437244905,As published,2.8712068099037564
