distribution,replication,method,simultaneously_covered
"Beta(0.5,0.5)",13,Stitched bridge-efficient,1
"Beta(0.5,0.5)",13,Hedged-WoR,1
"Beta(0.5,0.5)",14,Stitched bridge-efficient,1
"Beta(0.5,0.5)",14,Hedged-WoR,1
"Beta(0.5,0.5)",15,Stitched bridge-efficient,1
"Beta(0.5,0.5)",15,Hedged-WoR,1
"Beta(0.5,0.5)",16,Stitched bridge-efficient,1
"Beta(0.5,0.5)",16,Hedged-WoR,1
"Beta(0.5,0.5)",17,Stitched bridge-efficient,1
"Beta(0.5,0.5)",17,Hedged-WoR,1
"Beta(0.5,0.5)",18,Stitched bridge-efficient,1
"Beta(0.5,0.5)",18,Hedged-WoR,1
"Beta(0.5,0.5)",19,Stitched bridge-efficient,1
"Beta(0.5,0.5)",19,Hedged-WoR,1
"Beta(0.5,0.5)",20,Stitched bridge-efficient,1
"Beta(0.5,0.5)",20,Hedged-WoR,1
"Beta(0.5,0.5)",21,Stitched bridge-efficient,1
"Beta(0.5,0.5)",21,Hedged-WoR,1
"Beta(0.5,0.5)",22,Stitched bridge-efficient,1
"Beta(0.5,0.5)",22,Hedged-WoR,1
"Beta(0.5,0.5)",23,Stitched bridge-efficient,1
"Beta(0.5,0.5)",23,Hedged-WoR,1
"Beta(0.5,0.5)",24,Stitched bridge-efficient,1
"Beta(0.5,0.5)",24,Hedged-WoR,1
"Beta(0.5,0.5)",25,Stitched bridge-efficient,1
"Beta(0.5,0.5)",25,Hedged-WoR,1
"Beta(0.5,0.5)",26,Stitched bridge-efficient,1
"Beta(0.5,0.5)",26,Hedged-WoR,1
"Beta(0.5,0.5)",27,Stitched bridge-efficient,1
"Beta(0.5,0.5)",27,Hedged-WoR,1
"Beta(0.5,0.5)",28,Stitched bridge-efficient,1
"Beta(0.5,0.5)",28,Hedged-WoR,1
"Beta(0.5,0.5)",29,Stitched bridge-efficient,1
"Beta(0.5,0.5)",29,Hedged-WoR,1
"Beta(0.5,0.5)",30,Stitched bridge-efficient,1
"Beta(0.5,0.5)",30,Hedged-WoR,1
"Beta(0.5,0.5)",31,Stitched bridge-efficient,1
"Beta(0.5,0.5)",31,Hedged-WoR,1
"Beta(0.5,0.5)",32,Stitched bridge-efficient,1
"Beta(0.5,0.5)",32,Hedged-WoR,1
"Beta(0.5,0.5)",33,Stitched bridge-efficient,1
"Beta(0.5,0.5)",33,Hedged-WoR,1
"Beta(0.5,0.5)",34,Stitched bridge-efficient,1
"Beta(0.5,0.5)",34,Hedged-WoR,1
"Beta(0.5,0.5)",35,Stitched bridge-efficient,1
"Beta(0.5,0.5)",35,Hedged-WoR,1
"Beta(0.5,0.5)",36,Stitched bridge-efficient,1
"Beta(0.5,0.5)",36,Hedged-WoR,1
"Beta(0.5,0.5)",37,Stitched bridge-efficient,1
"Beta(0.5,0.5)",37,Hedged-WoR,1
"Beta(0.5,0.5)",38,Stitched bridge-efficient,1
"Beta(0.5,0.5)",38,Hedged-WoR,1
"Beta(0.5,0.5)",39,Stitched bridge-efficient,1
"Beta(0.5,0.5)",39,Hedged-WoR,1
Bernoulli(0.1),0,Stitched bridge-efficient,1
